,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.027256431,0.028416017,0.030971052,0.2442675,0.25397003,0.2551769,0.25466728,0.25585157,0.2574803
2,235,0.02521677,0.025423972,0.027833631,0.19862741,0.20745134,0.20902629,0.20991123,0.21159793,0.21225516
2,384,0.025402721,0.025846273,0.025445983,0.16476159,0.17189501,0.17357703,0.17514944,0.17647706,0.18070278
2,440,0.025134278,0.026152074,0.025248047,0.15462013,0.16082177,0.16281818,0.16384313,0.16535522,0.16947627
2,458,0.025361821,0.024999192,0.023735391,0.15806715,0.16053504,0.16076897,0.16087481,0.16149515,0.16325392
2,471,0.024383012,0.024522973,0.023094306,0.15644573,0.16183197,0.16429973,0.16593394,0.16719186,0.17162937
2,534,0.02730573,0.02968907,0.029023912,0.1864707,0.19564645,0.19801685,0.19966365,0.20093338,0.20264924
2,643,0.025747467,0.027152127,0.027101973,0.17970596,0.1848271,0.18595904,0.18701872,0.18855357,0.18972681
2,862,0.023289748,0.02420823,0.02334857,0.15481731,0.16278704,0.1647439,0.16623828,0.16728412,0.17030463
2,918,0.02855293,0.02901668,0.027697247,0.23523502,0.25489458,0.25627747,0.257131,0.2588842,0.26255864
2,1005,0.027201125,0.026921622,0.027720852,0.19487955,0.20446193,0.20653313,0.20724083,0.20850392,0.20986335
2,1007,0.027237518,0.026683223,0.026582835,0.20152406,0.20965406,0.21095578,0.21075162,0.2126122,0.21280622
2,1161,0.03099717,0.030822495,0.030479996,0.14723608,0.1581621,0.16287251,0.16612847,0.16442561,0.16596282
2,1190,0.025257858,0.026509663,0.027790928,0.21887782,0.22823246,0.23017979,0.23162206,0.233303,0.23402472
2,1395,0.02586309,0.02765226,0.026473928,0.18331876,0.19834839,0.20002346,0.20106997,0.20116101,0.20002785
2,1467,0.027315486,0.030843921,0.03489336,0.2028472,0.21403195,0.21608445,0.21799067,0.21943495,0.22453937
