,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.9834552,0.98285323,0.9808238,0.7522299,0.7216048,0.7191169,0.72915787,0.72573334,0.7371716
2,235,0.9859577,0.98593307,0.98415977,0.83993155,0.82368946,0.8168166,0.8157144,0.8168583,0.81288004
2,384,0.98815894,0.9874296,0.9871357,0.8871822,0.88185793,0.88189906,0.8849308,0.8868889,0.8868024
2,440,0.99130654,0.9906934,0.9896312,0.8859112,0.8853418,0.8839295,0.88728005,0.8915207,0.8948093
2,458,0.9910023,0.99055344,0.9902635,0.8807428,0.86649275,0.8662124,0.86134386,0.8555951,0.85509783
2,471,0.98867863,0.9887497,0.9877501,0.86387247,0.8471816,0.8505958,0.84092623,0.8423782,0.845506
2,534,0.9867601,0.98690104,0.98651505,0.8593324,0.8446242,0.8417656,0.835614,0.83065957,0.82116085
2,643,0.9877672,0.98783225,0.9869931,0.8782113,0.8660879,0.8610313,0.8556501,0.85537845,0.85676193
2,862,0.99143416,0.991235,0.989906,0.90739465,0.9036415,0.90255624,0.9036134,0.90024495,0.8917964
2,918,0.9923541,0.99131316,0.9904391,0.8931696,0.89124054,0.88396555,0.87846416,0.87650436,0.8745803
2,1005,0.9813552,0.98151034,0.97966605,0.80685526,0.80396265,0.8019065,0.7951049,0.7934403,0.792857
2,1007,0.98195535,0.98161656,0.98011136,0.80402875,0.7947565,0.79158264,0.7893353,0.77949756,0.7834616
2,1161,0.98488665,0.98512393,0.9831135,0.85335296,0.83619404,0.8348208,0.8414914,0.8499544,0.84939355
2,1190,0.9894311,0.9891501,0.987281,0.8596716,0.845393,0.83996457,0.83878285,0.8372653,0.83529156
2,1395,0.98655105,0.98679763,0.98455137,0.83347845,0.8225722,0.8216148,0.82194424,0.8233666,0.8252556
2,1467,0.9899538,0.98995036,0.9899082,0.86445,0.8477194,0.84851784,0.8506047,0.8520186,0.85564333
