,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.070592925,0.075584166,0.10595392,0.30997622,0.36165312,0.3894827,0.39926565,0.4081096,0.44372112
1,235,0.088956095,0.092792355,0.10270808,0.23455809,0.25480154,0.26604438,0.2728028,0.28400266,0.30342847
1,384,0.058679037,0.060461566,0.065454476,0.18837555,0.19693963,0.20377041,0.205975,0.21166982,0.21489784
1,440,0.24988371,0.25100628,0.25191066,0.33260792,0.3393649,0.33569238,0.3352225,0.33524454,0.3101065
1,458,0.070361905,0.069518186,0.07131392,0.19653961,0.20422968,0.20829378,0.20867209,0.21949856,0.21936454
1,471,0.13065349,0.12804669,0.14311339,0.23547761,0.24199142,0.26079753,0.25972486,0.26085997,0.240714
1,534,0.24321118,0.25642818,0.28404793,0.44299558,0.4686086,0.48540726,0.4954837,0.4982546,0.49453184
1,643,0.091153845,0.09517373,0.10986383,0.22331625,0.23493744,0.24773183,0.25199315,0.25906405,0.23749992
1,862,0.10626898,0.124051176,0.121724665,0.19372825,0.19882181,0.20446603,0.201985,0.20125207,0.19803151
1,918,0.24464677,0.24835786,0.23836493,0.3229232,0.3272789,0.33197013,0.33714464,0.36320674,0.36607763
1,1005,0.16021106,0.15795058,0.13997725,0.22463098,0.24205363,0.25663796,0.26048493,0.28944078,0.28231436
1,1007,0.081623204,0.087588914,0.0981864,0.24321036,0.2520259,0.25960544,0.2562299,0.25500476,0.2560611
1,1161,0.08933182,0.10243949,0.097378545,0.18348312,0.20049755,0.20527345,0.20471044,0.21080796,0.23984371
1,1190,0.057715215,0.05913969,0.065496124,0.2750969,0.3075654,0.31632093,0.31700948,0.3209288,0.33178797
1,1395,0.08602496,0.08758719,0.089477874,0.20483848,0.21754146,0.21813841,0.21547529,0.2137046,0.22915144
1,1467,0.051741797,0.05889163,0.076943845,0.21672681,0.22748865,0.23318832,0.23523556,0.24532935,0.24547763
1,17314,0.12510887,0.120702885,0.12796617,0.27053863,0.292322,0.3013623,0.30323827,0.31313658,0.28362474
1,55827,0.24349968,0.2454063,0.23041536,0.34231597,0.37247685,0.40734953,0.43124637,0.4505439,0.45148224
1,56424,0.058956612,0.063666426,0.07719978,0.25441957,0.26905295,0.27564335,0.2723139,0.2841705,0.2719759
1,56963,0.08563532,0.09626235,0.116750926,0.25496373,0.26985306,0.27432835,0.27554232,0.28138065,0.28736866
