,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.9549129,0.9540948,0.9458175,0.7281055,0.7013285,0.7205074,0.7075865,0.68612766,0.67947716
1,235,0.9555023,0.95353514,0.94600934,0.803696,0.7775784,0.75989145,0.75331336,0.75711495,0.7571366
1,384,0.9530852,0.95491976,0.9453575,0.8069636,0.80649596,0.80177075,0.8011575,0.77774566,0.80469686
1,440,0.91476816,0.9155701,0.9104893,0.7973361,0.774682,0.76649314,0.76902,0.76263076,0.7629287
1,458,0.9599783,0.9636187,0.9608039,0.8488701,0.8290183,0.8385268,0.834789,0.8236001,0.67000055
1,471,0.96752554,0.96707684,0.9591113,0.823546,0.8240912,0.7729083,0.7942926,0.79202884,0.7387626
1,534,0.9205993,0.9179453,0.9035719,0.76611924,0.73609275,0.7171683,0.69454926,0.6386286,0.6165621
1,643,0.9394309,0.9388709,0.93502396,0.8230465,0.806629,0.7997722,0.8017141,0.78766304,0.8063905
1,862,0.96209306,0.95883125,0.96070224,0.82718617,0.84361935,0.8568702,0.8412924,0.8222801,0.7819863
1,918,0.9119083,0.9146841,0.8953061,0.7770621,0.75560373,0.75582385,0.7679846,0.7816109,0.78664225
1,1005,0.8981466,0.8965871,0.90684265,0.7688994,0.757462,0.7396962,0.7611291,0.7513306,0.7306959
1,1007,0.956517,0.94914263,0.93642527,0.7128608,0.6753218,0.67353874,0.6764417,0.69013363,0.70167136
1,1161,0.96410495,0.9617496,0.9525728,0.82653546,0.8040063,0.7973695,0.7935334,0.77665216,0.7533333
1,1190,0.9732318,0.9743724,0.9635291,0.77903897,0.7194681,0.7354323,0.7608845,0.78484637,0.7804675
1,1395,0.9542195,0.9534631,0.9479993,0.8147633,0.81486887,0.8105257,0.80625504,0.8117698,0.78035575
1,1467,0.97837406,0.9785335,0.9754896,0.8519573,0.8316829,0.83177924,0.83419174,0.8178306,0.8309223
1,17314,0.94179934,0.9430564,0.9300552,0.8118537,0.7881394,0.7686899,0.76420784,0.77638453,0.7803082
1,55827,0.9435146,0.94152445,0.9429,0.75564504,0.709676,0.7204762,0.7268316,0.7101012,0.65757775
1,56424,0.9765322,0.97522235,0.9710683,0.75686973,0.7188625,0.7148518,0.71111614,0.7213785,0.72417575
1,56963,0.9089615,0.9046118,0.881727,0.7295134,0.7001751,0.7069266,0.712524,0.7231612,0.7372716
