,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.012833075,0.015039807,0.021000434,0.23440816,0.24221209,0.24293476,0.24272776,0.24375129,0.24409574
2,235,0.014317171,0.017630812,0.024244677,0.18605855,0.19008955,0.19106849,0.19114245,0.19157079,0.19147867
2,384,0.012480405,0.013250371,0.019262696,0.15390328,0.15866375,0.1605427,0.16134182,0.16288808,0.16233991
2,440,0.011315502,0.012954766,0.017861834,0.14377536,0.14819215,0.14867808,0.14938048,0.15105218,0.14998062
2,458,0.010478086,0.012267008,0.017088613,0.14986953,0.1511786,0.15041861,0.15018225,0.15082224,0.15016231
2,471,0.0113462685,0.013100245,0.017962972,0.14669439,0.15023689,0.15167522,0.15306376,0.15505041,0.15283106
2,534,0.012206352,0.014226883,0.020060606,0.17412716,0.18153585,0.18244095,0.1832464,0.18416403,0.18348026
2,643,0.011895206,0.013426664,0.019055227,0.1720724,0.17708136,0.17728879,0.17720102,0.17915097,0.17684911
2,862,0.01214737,0.013967629,0.018720124,0.1418618,0.14721015,0.14787677,0.14880933,0.15062223,0.14957224
2,918,0.014158882,0.015971588,0.021144407,0.22860724,0.24423261,0.24634545,0.24627313,0.24768302,0.25003672
2,1005,0.014602305,0.015845621,0.020238865,0.1783555,0.18566976,0.18703723,0.1875336,0.18729436,0.18459514
2,1007,0.01431287,0.016339988,0.022037812,0.18213286,0.18997414,0.19086702,0.1918296,0.19259937,0.19005452
2,1161,0.01527995,0.017222216,0.023205917,0.13482009,0.1400624,0.14150769,0.14166749,0.14187649,0.13933174
2,1190,0.011772707,0.013115937,0.019081473,0.2073129,0.21689568,0.2168401,0.21723087,0.21793012,0.21809176
2,1395,0.015802246,0.018107913,0.023426067,0.169468,0.18079974,0.18144713,0.18277785,0.18407437,0.18150102
2,1467,0.018537462,0.021399057,0.028349502,0.2034508,0.21623026,0.21831235,0.21913207,0.22395004,0.2165234
