,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.9923665,0.9915643,0.9886256,0.7926907,0.77333575,0.77115875,0.7824233,0.77857137,0.76661307
2,235,0.9931516,0.9921109,0.9899819,0.85651547,0.8429172,0.8483022,0.8492634,0.8463154,0.83955985
2,384,0.994178,0.994157,0.9935632,0.9003706,0.8959444,0.8955703,0.8928029,0.88904566,0.88672704
2,440,0.9956932,0.99581224,0.99486136,0.9058115,0.9026486,0.90161175,0.9014225,0.8992541,0.8986663
2,458,0.9948888,0.9954429,0.99408555,0.86028355,0.85715586,0.8605477,0.86184627,0.85628,0.8572943
2,471,0.99455696,0.9939821,0.99246424,0.8647916,0.84807926,0.8493499,0.85142136,0.8467557,0.836935
2,534,0.99250644,0.99209946,0.9906357,0.86147374,0.848798,0.8477878,0.84311897,0.8342082,0.8208547
2,643,0.9935212,0.9934228,0.99180245,0.8821144,0.8739554,0.8717346,0.87086296,0.8700437,0.8701109
2,862,0.99584633,0.99517846,0.9951317,0.91425246,0.90901154,0.9115803,0.9104705,0.9084351,0.907365
2,918,0.9958365,0.9956918,0.9928846,0.87445337,0.87130755,0.8702716,0.8761735,0.8720837,0.8736163
2,1005,0.9909652,0.9907097,0.9876762,0.8126326,0.804444,0.8046715,0.80160016,0.80267876,0.7989928
2,1007,0.990952,0.9891531,0.9859516,0.82736987,0.8125567,0.81061715,0.80699444,0.8064449,0.80915505
2,1161,0.9938244,0.9936436,0.9922297,0.8795716,0.87431544,0.8695397,0.86771065,0.8666981,0.8715496
2,1190,0.99331933,0.9932628,0.9922753,0.8561153,0.8461392,0.84148073,0.84416777,0.8474345,0.8321013
2,1395,0.9932764,0.9927556,0.9908373,0.8395912,0.83284277,0.8316996,0.83141637,0.83079886,0.82733876
2,1467,0.99410105,0.994235,0.99256855,0.879452,0.8702236,0.86804867,0.869576,0.8638358,0.86206436
