,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.22987276,0.22328074,0.28859374,0.45537832,0.4844583,0.49229825,0.4923023,0.49251294,0.47830844
1,235,0.05566686,0.060309492,0.069313675,0.22267918,0.23797698,0.24398102,0.2465754,0.2450104,0.24694073
1,384,0.11546282,0.11526145,0.11131805,0.1963618,0.22201008,0.23499833,0.24901368,0.25762606,0.2629647
1,440,0.07169574,0.06624282,0.07255046,0.17152192,0.17955968,0.1825382,0.18437633,0.18570414,0.19188838
1,458,0.21642338,0.22881386,0.27828726,0.38724387,0.4143568,0.4149345,0.415606,0.42494208,0.42792875
1,471,0.14499736,0.12696452,0.12768391,0.19701797,0.20577374,0.20868589,0.21122667,0.21883081,0.24067275
1,534,0.08766186,0.095234185,0.099513054,0.2661773,0.28905728,0.29913962,0.30949187,0.31417844,0.3100423
1,643,0.13772969,0.14092985,0.15441163,0.36917257,0.3752033,0.3864421,0.38735715,0.38425943,0.36600667
1,862,0.1401747,0.12844257,0.13483503,0.24509092,0.2719177,0.28873062,0.2934017,0.29946378,0.25998285
1,918,0.18700042,0.17606983,0.15415154,0.26106155,0.27018195,0.27543807,0.27940127,0.2827018,0.2829752
1,1005,0.14961672,0.14836398,0.12557115,0.21858099,0.23043656,0.23241721,0.23175602,0.23180225,0.23351981
1,1007,0.07327479,0.08373281,0.08405715,0.21287054,0.21863419,0.22164336,0.2257466,0.22850525,0.22121684
1,1161,0.15234596,0.14736843,0.13076624,0.18868627,0.19783756,0.21016896,0.2177988,0.22763136,0.20211633
1,1190,0.12482212,0.13183159,0.13188909,0.28837535,0.30416316,0.3097003,0.31134832,0.3078071,0.30780488
1,1395,0.06636957,0.07194306,0.06574022,0.18850067,0.19514976,0.19501986,0.19658965,0.19831005,0.19831169
1,1467,0.11103846,0.10908452,0.12794758,0.20693368,0.21731448,0.2219197,0.22461283,0.22251832,0.22945942
1,17314,0.04974557,0.050350204,0.061073486,0.21793412,0.23722576,0.25010267,0.25732902,0.2613686,0.26487893
1,55827,0.26417,0.25886774,0.23630445,0.32748365,0.34710798,0.35787648,0.36413345,0.36710995,0.36780462
1,56424,0.08612806,0.10287382,0.18557855,0.33495986,0.37042964,0.39315662,0.4102963,0.42945805,0.4001817
1,56963,0.15682112,0.16264008,0.20953915,0.4155931,0.46338722,0.47460267,0.4816994,0.49016002,0.45902994
