,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.9167991,0.91378254,0.89848906,0.7295823,0.6686037,0.64845175,0.6306083,0.6063343,0.5777804
1,235,0.972881,0.9729319,0.96069425,0.8383217,0.81000704,0.79711205,0.7909588,0.7997512,0.8023333
1,384,0.9681123,0.9651637,0.959836,0.85175467,0.84045696,0.83363456,0.8256013,0.81420493,0.80552787
1,440,0.9688439,0.97054416,0.9723485,0.8819382,0.8634526,0.8585994,0.86002785,0.85654306,0.84397125
1,458,0.9583535,0.95802355,0.91654634,0.82406783,0.7990026,0.7911661,0.79134303,0.790474,0.84661704
1,471,0.9112916,0.9114995,0.9201934,0.78087074,0.76335186,0.7602981,0.76267815,0.7584947,0.738981
1,534,0.96606874,0.964751,0.9608678,0.8477845,0.82765037,0.8141501,0.80262893,0.79226273,0.7925806
1,643,0.9485827,0.94540435,0.942396,0.8206694,0.7989922,0.7915296,0.78505784,0.7949975,0.8257988
1,862,0.9747161,0.9733134,0.96429205,0.85069615,0.8517274,0.843272,0.845133,0.8435344,0.8498531
1,918,0.9687481,0.965704,0.95639825,0.83661586,0.8295166,0.82626206,0.8239853,0.8235946,0.8186507
1,1005,0.9208255,0.9205258,0.9092004,0.72387534,0.7158597,0.7045347,0.7016277,0.69908744,0.69980806
1,1007,0.9338897,0.92850643,0.9332659,0.7860214,0.755527,0.736542,0.731728,0.7344889,0.7182564
1,1161,0.91981006,0.9148519,0.9319454,0.8047306,0.82033825,0.81695634,0.81817335,0.82428503,0.81700104
1,1190,0.9369068,0.93071693,0.93866104,0.757175,0.7290442,0.7237227,0.71871454,0.7119326,0.6940474
1,1395,0.96719533,0.9673464,0.9659283,0.7941875,0.77191466,0.76871794,0.77298903,0.7763183,0.7364697
1,1467,0.9644332,0.96571654,0.952267,0.8456916,0.83805084,0.8435599,0.8427827,0.8375297,0.8376834
1,17314,0.9559577,0.95359,0.94439644,0.8095021,0.8077329,0.79473096,0.78685623,0.7786302,0.769439
1,55827,0.9397786,0.93743056,0.9247694,0.7669094,0.7315802,0.71881056,0.7104268,0.7162779,0.7357998
1,56424,0.97654945,0.9732468,0.95833206,0.8170521,0.79852074,0.79371214,0.78709126,0.78773355,0.77359104
1,56963,0.9453642,0.9465671,0.94306725,0.813339,0.79797405,0.80825204,0.8116732,0.8038357,0.7695475
