,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.26853293,0.26820746,0.26829475,0.2687645,0.2689619,0.26982442,0.27235183,0.27253774,0.2696218
2,235,0.21940061,0.21910658,0.21819986,0.21820498,0.21852122,0.21910767,0.22070351,0.22340794,0.2195395
2,384,0.18378216,0.18482067,0.18500935,0.18578118,0.18656218,0.18705283,0.18899998,0.18904263,0.18241288
2,440,0.17545561,0.17633538,0.17605238,0.17629568,0.17661577,0.17712307,0.17893182,0.17905061,0.16915047
2,458,0.17546172,0.17604236,0.17621084,0.17683244,0.1772892,0.17784406,0.17929529,0.18036444,0.17521702
2,471,0.1787576,0.18003765,0.18005511,0.1807734,0.18105213,0.18173632,0.18364862,0.18279266,0.1721745
2,534,0.21069442,0.21165255,0.21145768,0.2120657,0.21277991,0.21336296,0.21474102,0.2153147,0.20479497
2,643,0.20618664,0.20712188,0.20740454,0.20807686,0.20866808,0.20916434,0.2114838,0.21014138,0.20039003
2,862,0.17390996,0.17498167,0.17494643,0.17591618,0.17619048,0.1761167,0.17759416,0.17769355,0.17075951
2,918,0.2800325,0.28048652,0.27972454,0.28051895,0.2816458,0.2833407,0.28500485,0.28660375,0.28023344
2,1005,0.22101983,0.22054711,0.21984334,0.22020987,0.22110397,0.22217785,0.22451858,0.22265366,0.2162282
2,1007,0.22553137,0.22520812,0.22457549,0.22476406,0.22540106,0.22608243,0.2273803,0.22828284,0.22223742
2,1161,0.17614697,0.17671037,0.17639504,0.17643988,0.17613837,0.17721087,0.17922701,0.18147758,0.17300369
2,1190,0.24573657,0.24629956,0.24676983,0.24762453,0.2479708,0.24860497,0.25036567,0.25012532,0.24554114
2,1395,0.20443542,0.20503773,0.20493323,0.20539914,0.20475778,0.20442484,0.20675741,0.2073988,0.20105681
2,1467,0.2329661,0.23283027,0.23212287,0.23221816,0.23251905,0.23359258,0.23562497,0.23736185,0.233338
