,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.74417377,0.7432251,0.7428393,0.74265504,0.7421066,0.74604625,0.74248815,0.746046,0.73547673
2,235,0.81308746,0.81373763,0.815181,0.8147456,0.8142047,0.81369346,0.8103226,0.81156236,0.8220258
2,384,0.8789196,0.87743,0.8774123,0.876539,0.87572867,0.87645537,0.86919945,0.86445326,0.866606
2,440,0.8989033,0.8970091,0.89859337,0.89924693,0.8986261,0.8996782,0.898279,0.8937953,0.8971071
2,458,0.85525393,0.8530615,0.85350317,0.8533532,0.85282916,0.85102504,0.84510237,0.8458523,0.85176045
2,471,0.8320125,0.830616,0.8318851,0.82989097,0.8310499,0.82932854,0.82332283,0.81670076,0.8145905
2,534,0.8370561,0.83655167,0.83819944,0.8359396,0.8324527,0.830936,0.8264112,0.8156796,0.8104846
2,643,0.8564043,0.8543388,0.85334677,0.8548235,0.85231996,0.8491182,0.84881395,0.85046315,0.8568745
2,862,0.9243184,0.92440253,0.92402893,0.9237576,0.9242651,0.9239872,0.9213493,0.9186824,0.9161443
2,918,0.8548458,0.8526497,0.8534536,0.85231376,0.8546608,0.85369045,0.8539018,0.85971713,0.86296797
2,1005,0.783917,0.7827592,0.78419757,0.782464,0.78391933,0.7822423,0.77810806,0.7746868,0.7703603
2,1007,0.7836476,0.7834763,0.78261614,0.7808406,0.78176624,0.7808632,0.77920085,0.7833743,0.7701109
2,1161,0.82928926,0.82812166,0.8282744,0.8272256,0.8274951,0.83033484,0.8336312,0.8300541,0.82671434
2,1190,0.8350525,0.8311735,0.830517,0.82725596,0.8262461,0.8287098,0.82670236,0.7950693,0.8084493
2,1395,0.81382227,0.8143441,0.8151674,0.8125829,0.8119095,0.81410223,0.8135044,0.8098789,0.8121831
2,1467,0.8614759,0.8626916,0.862781,0.86340123,0.86426526,0.8654983,0.8635066,0.85919136,0.85016876
