,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.39000815,0.391777,0.39372706,0.39364022,0.3908006,0.38748258,0.38139534,0.36518493,0.39028898
1,235,0.27531418,0.27657032,0.27791783,0.27772537,0.27561146,0.27827477,0.27836663,0.27500752,0.290113
1,384,0.25580612,0.25635424,0.2574699,0.25831982,0.2565109,0.2603181,0.2575484,0.24152435,0.24183401
1,440,0.20658652,0.20592146,0.20526215,0.20475416,0.20581788,0.20467934,0.20552307,0.20996079,0.22445816
1,458,0.19747786,0.19691437,0.19647966,0.19609137,0.19655845,0.19655237,0.19804442,0.2008583,0.20804018
1,471,0.1927427,0.19264802,0.19279215,0.19341351,0.19326097,0.19299431,0.19581096,0.19540381,0.20447727
1,534,0.22672467,0.22664273,0.2266026,0.22679304,0.22719881,0.22932269,0.22647695,0.22581543,0.23777561
1,643,0.24456836,0.24400052,0.2428447,0.24273382,0.2427613,0.24199128,0.24465737,0.25277403,0.24140845
1,862,0.18299638,0.18275967,0.18288888,0.18354814,0.18419527,0.18376988,0.18810223,0.18822852,0.19902991
1,918,0.35456184,0.3546365,0.3543876,0.3555176,0.3564887,0.3585497,0.3631444,0.33691353,0.34860128
1,1005,0.27013147,0.26990554,0.27013323,0.27052537,0.27337393,0.2737801,0.27095407,0.26874325,0.26308352
1,1007,0.2306404,0.23061106,0.23074883,0.23059213,0.2306842,0.23097377,0.23540968,0.2468018,0.2442704
1,1161,0.19129002,0.19185747,0.1921323,0.19195592,0.19343139,0.1938834,0.19645798,0.1937161,0.21209201
1,1190,0.27710983,0.27748865,0.27920395,0.28012475,0.28003928,0.2778409,0.28232464,0.2840617,0.3015815
1,1395,0.2461288,0.24650326,0.24662533,0.24654494,0.24705529,0.24253258,0.25231463,0.2608997,0.23074022
1,1467,0.23699075,0.23655395,0.23649001,0.23610963,0.23597173,0.23645952,0.23842081,0.2406726,0.24862283
1,17314,0.26822698,0.26774967,0.26804388,0.26803452,0.26590917,0.26922575,0.2678194,0.25661686,0.26585725
1,55827,0.5370366,0.5369598,0.5366353,0.5363957,0.5382101,0.53812414,0.5324777,0.50587666,0.49755064
1,56424,0.25296858,0.2530916,0.25323135,0.25441924,0.2548742,0.25597435,0.25834507,0.26092014,0.2848111
1,56963,0.26414803,0.26437584,0.26422247,0.26431918,0.26403508,0.263632,0.26195687,0.26196143,0.26994628
