,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.70154834,0.7011976,0.70098966,0.70126295,0.701842,0.6986852,0.69616127,0.70592064,0.70746326
1,235,0.7656407,0.76626825,0.7648671,0.7684751,0.76974654,0.7705834,0.7623908,0.7465425,0.76893145
1,384,0.8146932,0.8131223,0.8086776,0.80720514,0.80844235,0.8094527,0.80951333,0.806786,0.78513926
1,440,0.8045635,0.8063955,0.80994743,0.8108816,0.8121467,0.8083463,0.8204162,0.81545997,0.814094
1,458,0.81140774,0.8119926,0.8105766,0.8102462,0.81009454,0.810632,0.8074625,0.80271214,0.7812919
1,471,0.8089523,0.8025039,0.8013482,0.7959706,0.79580516,0.79427767,0.7907521,0.79108745,0.80148774
1,534,0.83183247,0.83150357,0.83031636,0.8294122,0.82826596,0.8264621,0.8233833,0.8122492,0.7854791
1,643,0.84988767,0.85085887,0.85167056,0.8509883,0.8511875,0.84536505,0.847387,0.8436925,0.8038179
1,862,0.8785598,0.87820584,0.87573034,0.87754387,0.8766959,0.87914586,0.8786073,0.87219757,0.86710113
1,918,0.79446983,0.79368585,0.7904981,0.78734994,0.78717595,0.78374314,0.7783986,0.778496,0.77217966
1,1005,0.75522846,0.75513273,0.7550457,0.7542131,0.75297517,0.7485237,0.7493153,0.75454086,0.7361327
1,1007,0.7575009,0.7561825,0.75665617,0.7576969,0.7570477,0.75569296,0.74962217,0.7481329,0.7231319
1,1161,0.8358788,0.8366082,0.8387747,0.83920485,0.8392672,0.832915,0.84011096,0.83187205,0.80342823
1,1190,0.7991266,0.7989573,0.79804397,0.79692155,0.80091435,0.7957549,0.8069355,0.8081115,0.7873376
1,1395,0.7978584,0.79781574,0.7985661,0.7982735,0.7991555,0.79709625,0.8040681,0.79278904,0.7971794
1,1467,0.80512136,0.8057236,0.8069978,0.80735916,0.8063326,0.8064495,0.8069708,0.7940295,0.7822375
1,17314,0.7768677,0.7798159,0.77956176,0.7797528,0.77851266,0.77777165,0.76329726,0.75567454,0.7530179
1,55827,0.6247953,0.6244,0.62532157,0.62335485,0.62299716,0.6203489,0.6221662,0.6427487,0.60373604
1,56424,0.8118085,0.8125221,0.8119126,0.81148964,0.8088427,0.80790526,0.8070833,0.7956869,0.7850674
1,56963,0.8583996,0.8563108,0.85907555,0.85699064,0.8602936,0.8639097,0.8601064,0.8523852,0.8060512
