,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.054471962,0.07972155,0.057271037,0.37087148,0.44972304,0.5050945,0.54173887,0.5805095,0.6189125
2,235,0.055505153,0.07489067,0.059255507,0.33725044,0.42437437,0.47955188,0.5150913,0.5601122,0.5991597
2,384,0.05478835,0.06876966,0.062255654,0.3082435,0.39868513,0.4570154,0.49697924,0.5324827,0.5669751
2,440,0.055323515,0.067366496,0.06088688,0.29326448,0.367297,0.42027575,0.46179467,0.49844256,0.53651273
2,458,0.054358315,0.06780251,0.062199116,0.28983185,0.3633443,0.4099519,0.4512472,0.49168226,0.536554
2,471,0.05532556,0.06696936,0.06356177,0.29557762,0.3703933,0.4196212,0.46215656,0.5030864,0.5448421
2,534,0.055613145,0.07149482,0.0606691,0.3318901,0.42144638,0.47168764,0.5120638,0.55030835,0.58565795
2,643,0.053466927,0.07098292,0.06461675,0.328293,0.4048976,0.45403004,0.49105543,0.5322099,0.57272625
2,862,0.053723294,0.064841606,0.0652731,0.27737662,0.3525601,0.3999588,0.44213107,0.48502526,0.5291976
2,918,0.056749973,0.08211881,0.059405643,0.35105783,0.45001873,0.5156227,0.56713563,0.6175915,0.66145253
2,1005,0.05427643,0.077737845,0.057405256,0.33127645,0.42717353,0.48909715,0.5398111,0.59353775,0.63901657
2,1007,0.055068906,0.079026245,0.058053967,0.33605385,0.4281514,0.4849683,0.5322898,0.58385116,0.63024324
2,1161,0.0536702,0.06947789,0.06634988,0.27433646,0.36213765,0.42383483,0.4778996,0.5381561,0.58927065
2,1190,0.05447355,0.07495508,0.06491127,0.34778932,0.44221264,0.4943961,0.5347762,0.5710465,0.6104563
2,1395,0.05410222,0.06712176,0.07655423,0.28461874,0.37163228,0.42890742,0.4807958,0.53345394,0.5779777
2,1467,0.053226225,0.077620715,0.061691076,0.33622557,0.42231628,0.48141763,0.5296272,0.57889724,0.62055427
