,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.97441834,0.9500556,0.9593119,0.71015304,0.6093685,0.6173615,0.580672,0.5587461,0.5407562
2,235,0.97765356,0.9607337,0.9702334,0.7849633,0.7026742,0.64766914,0.60811263,0.5942938,0.5874737
2,384,0.9845839,0.9605501,0.96009874,0.7887471,0.7454913,0.73437715,0.71490914,0.70134646,0.6923161
2,440,0.98471975,0.96922684,0.9626219,0.80934477,0.7666378,0.7574586,0.7348476,0.740078,0.74727577
2,458,0.986739,0.9662702,0.9677293,0.8205069,0.7949469,0.76834464,0.751741,0.75144315,0.73717594
2,471,0.9812927,0.9631664,0.9547164,0.7753132,0.7471521,0.68357605,0.6538324,0.65658826,0.67161727
2,534,0.9775579,0.9574383,0.9573326,0.7809122,0.7162888,0.6893923,0.6722245,0.6444618,0.6178283
2,643,0.9784091,0.95685196,0.96003395,0.7434229,0.6972285,0.6623387,0.6279184,0.62305576,0.60356456
2,862,0.98619527,0.968801,0.9657907,0.83952886,0.8368165,0.79960245,0.7818525,0.7640281,0.75466233
2,918,0.98666143,0.9725549,0.97027206,0.83383626,0.8398035,0.82860976,0.8014588,0.7885034,0.78116345
2,1005,0.9730571,0.95110726,0.95732355,0.66909295,0.63112694,0.60627455,0.57745516,0.56147796,0.55399793
2,1007,0.9731009,0.948283,0.9546446,0.6867831,0.6257936,0.5798139,0.5570677,0.53180933,0.52308416
2,1161,0.98116225,0.9552173,0.95523477,0.7784357,0.6981608,0.66071177,0.6419402,0.6144918,0.59178144
2,1190,0.9850301,0.9642126,0.96736985,0.7749997,0.6447153,0.6696655,0.66322106,0.66236216,0.64168096
2,1395,0.98098,0.95027465,0.95005125,0.7518223,0.72300005,0.6627995,0.6492704,0.6233994,0.60577184
2,1467,0.98211056,0.96511096,0.96712476,0.7720488,0.7045776,0.71141154,0.7082016,0.6838551,0.66883343
