,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.38586524,0.14006118,0.24867499,0.4569829,0.5074023,0.5305392,0.5800576,0.604582,0.5983318
1,235,0.34651762,0.24736416,0.43751958,0.5030038,0.5385025,0.51542556,0.60605735,0.6017575,0.58578444
1,384,0.23410392,0.09926671,0.088466555,0.30538914,0.39875543,0.441346,0.47697926,0.5002631,0.5117517
1,440,0.088154815,0.11185208,0.16584772,0.48060036,0.388713,0.4066624,0.44637448,0.4754304,0.51252097
1,458,0.13019228,0.13881879,0.21710289,0.5591076,0.6127892,0.41799173,0.44260308,0.4641406,0.47874928
1,471,0.3785524,0.18842246,0.18673387,0.35225022,0.42732418,0.4116587,0.4420161,0.4699521,0.48984423
1,534,0.11144623,0.0752802,0.1260668,0.33474624,0.4148804,0.48461768,0.5466182,0.5840871,0.61998665
1,643,0.10106048,0.09545137,0.25561076,0.39368305,0.4170364,0.4687346,0.5200374,0.54725105,0.5557737
1,862,0.11554136,0.1891308,0.12862839,0.28983384,0.35392672,0.4173581,0.47276556,0.5129097,0.5488018
1,918,0.11842701,0.10951902,0.27626425,0.48851308,0.5361647,0.552354,0.61717886,0.6781124,0.70154506
1,1005,0.317988,0.09687326,0.29533172,0.5292806,0.5438128,0.5130785,0.5842913,0.61045206,0.63100415
1,1007,0.29968527,0.089692086,0.23152548,0.50283223,0.5515444,0.51260054,0.5664594,0.6042875,0.60724837
1,1161,0.7385063,0.21371673,0.1337037,0.29886472,0.38907248,0.470602,0.47168523,0.4996807,0.5288376
1,1190,0.1267938,0.19459021,0.2687486,0.3503577,0.4387032,0.50766855,0.5557413,0.6039424,0.6001868
1,1395,0.1276526,0.09783005,0.20319177,0.30951065,0.37289888,0.42820793,0.46978942,0.5256363,0.5453099
1,1467,0.1325471,0.301937,0.09217158,0.33249563,0.43296528,0.5060953,0.55550593,0.6276869,0.63387334
1,17314,0.1003498,0.07678659,0.0793526,0.3337018,0.4190249,0.5006932,0.5564458,0.60606164,0.64426607
1,55827,0.16577439,0.171706,0.42714503,0.59851605,0.64810896,0.6499053,0.6781028,0.703264,0.7088343
1,56424,0.12293429,0.11112674,0.14561717,0.4476037,0.48008567,0.5274457,0.56888884,0.6203746,0.6471719
1,56963,0.77061874,0.27851558,0.35693058,0.40867254,0.5210375,0.5710755,0.59613734,0.6109658,0.63446486
