,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.81049395,0.92835957,0.8472124,0.68823594,0.6034135,0.5894872,0.5507948,0.5276388,0.54573935
1,235,0.84514993,0.90815824,0.8455622,0.72430515,0.65463406,0.6193618,0.57657677,0.5795013,0.58555084
1,384,0.9478423,0.9543862,0.9499201,0.7724962,0.7392686,0.70620346,0.68424916,0.67259353,0.6834652
1,440,0.95471674,0.9381466,0.95299506,0.7952182,0.7873645,0.77123076,0.74904275,0.7474799,0.7244637
1,458,0.9314189,0.93691546,0.935987,0.8008821,0.696837,0.6619682,0.6743434,0.6952223,0.71802473
1,471,0.82019705,0.919343,0.87589663,0.6859036,0.6581952,0.59719604,0.5987372,0.5942642,0.5992539
1,534,0.9356881,0.9380868,0.9257567,0.76482314,0.68722075,0.6364332,0.58383614,0.5578332,0.5398329
1,643,0.95165706,0.9091994,0.8845591,0.7202255,0.6595318,0.64005095,0.6145932,0.6167491,0.6109426
1,862,0.93630457,0.90507555,0.9440163,0.8182113,0.80370903,0.7650342,0.73346,0.7384188,0.73321706
1,918,0.97598314,0.93108076,0.9390653,0.7920725,0.7503063,0.7810013,0.77328354,0.7566485,0.7527117
1,1005,0.839274,0.93041784,0.88477325,0.6210902,0.5716786,0.5993229,0.5438382,0.53019625,0.5209646
1,1007,0.8378586,0.9372416,0.8983893,0.6485367,0.59341455,0.5707635,0.5364565,0.5130618,0.5054274
1,1161,0.70720524,0.92235327,0.90224737,0.77324456,0.69656426,0.65681237,0.65137774,0.6329237,0.6276546
1,1190,0.9499119,0.9471185,0.92714757,0.718905,0.63035774,0.6319175,0.6325351,0.64759594,0.63445675
1,1395,0.9184427,0.9138534,0.922779,0.72024494,0.70120573,0.6619295,0.64375275,0.5936368,0.5779851
1,1467,0.95921713,0.92861646,0.9537404,0.7684231,0.69498515,0.6946017,0.6925018,0.6642594,0.64948225
1,17314,0.9256506,0.9319435,0.938251,0.7253029,0.6602061,0.6095409,0.5629551,0.53706306,0.50498617
1,55827,0.9331283,0.9294061,0.85071725,0.7225013,0.65868306,0.6493327,0.63222957,0.6274681,0.6379654
1,56424,0.9497185,0.94875294,0.898215,0.734725,0.7035775,0.728771,0.7259302,0.709131,0.71058005
1,56963,0.8374463,0.94103914,0.8919528,0.8119957,0.757276,0.7354401,0.7186199,0.701333,0.6933358
