,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.061592206,0.05718336,0.13536412,0.3739678,0.37074688,0.35444754,0.35614777,0.35742328,0.3791515
2,235,0.060959417,0.056740258,0.13188468,0.3681246,0.37536934,0.3599272,0.36453593,0.3683146,0.3929879
2,384,0.06251656,0.05133936,0.13480182,0.3488134,0.33696944,0.31961632,0.31351754,0.30354565,0.31762412
2,440,0.06329389,0.04850385,0.13836592,0.34054944,0.32058734,0.30319047,0.29463992,0.28342187,0.30317226
2,458,0.060737036,0.05117405,0.14984961,0.36524662,0.35515207,0.34021685,0.3359652,0.33312765,0.3458622
2,471,0.06650796,0.048456818,0.1434145,0.35190195,0.3411191,0.32768112,0.32105437,0.31271526,0.32831323
2,534,0.06457081,0.053497877,0.13501364,0.37479872,0.38113847,0.37013283,0.36810133,0.36047584,0.37896702
2,643,0.064442135,0.051577833,0.13656442,0.36222944,0.3439063,0.32576948,0.31800136,0.31235346,0.32631972
2,862,0.06267607,0.049654767,0.13931985,0.3471744,0.328428,0.3107909,0.3025041,0.28825578,0.30322602
2,918,0.05860402,0.0564551,0.15358235,0.4892543,0.54289466,0.549675,0.5698552,0.5802932,0.598694
2,1005,0.066787116,0.05536977,0.13368133,0.37562275,0.37990257,0.37317798,0.37317532,0.3724789,0.39440063
2,1007,0.067929626,0.05868037,0.13928497,0.379573,0.3821075,0.36721674,0.36866504,0.3630114,0.38445315
2,1161,0.06393147,0.054543,0.13977183,0.36618137,0.38161317,0.36656556,0.37828866,0.3817975,0.41270667
2,1190,0.057728242,0.05032654,0.15796192,0.4040545,0.40134868,0.38865295,0.39567468,0.38968524,0.4111769
2,1395,0.0643925,0.0510181,0.12908438,0.36384654,0.36966765,0.34325877,0.34437874,0.33716613,0.36505553
2,1467,0.059927046,0.053712506,0.13677697,0.37844414,0.38615695,0.37730065,0.39184317,0.40071067,0.42371637
