,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.9752862,0.9459134,0.93363637,0.72848797,0.6879053,0.6959663,0.6866632,0.67470664,0.6669658
2,235,0.97827387,0.9574084,0.9331806,0.7849097,0.767108,0.76959187,0.7772894,0.7689018,0.7673905
2,384,0.9788503,0.95945674,0.94509536,0.76666397,0.7574134,0.78625983,0.78712267,0.7898224,0.7721472
2,440,0.9818403,0.96564215,0.95479584,0.7988229,0.78504324,0.8153321,0.82413054,0.82263464,0.81695175
2,458,0.9820233,0.9671175,0.95244616,0.77449465,0.745847,0.7586029,0.75725365,0.764411,0.7474508
2,471,0.97659856,0.9508819,0.9510862,0.7401927,0.74430126,0.7724021,0.7735016,0.76452655,0.76104474
2,534,0.97555804,0.9535958,0.94304353,0.7422528,0.7171789,0.74956375,0.7447278,0.7498717,0.7334783
2,643,0.9809974,0.9555195,0.9456524,0.7536469,0.733419,0.7375562,0.7482746,0.749398,0.7320331
2,862,0.98152596,0.96114427,0.96102625,0.7939076,0.79779285,0.81616855,0.8217706,0.8227391,0.823157
2,918,0.98593736,0.9664814,0.9647365,0.8103781,0.8114105,0.8155284,0.81162333,0.81323695,0.8031176
2,1005,0.9674385,0.94224674,0.92615277,0.69319963,0.67155653,0.68955594,0.67493755,0.6784847,0.6850865
2,1007,0.96750706,0.9416211,0.9227647,0.69072574,0.6563261,0.662293,0.64611864,0.65107995,0.6603781
2,1161,0.97782326,0.94798213,0.9408706,0.7662411,0.73637056,0.73678225,0.7358274,0.7333234,0.7116526
2,1190,0.98489136,0.9576586,0.9566594,0.76474446,0.69373256,0.7151673,0.72900677,0.71518713,0.7012442
2,1395,0.97691274,0.9503611,0.9277022,0.71580887,0.7194419,0.7205338,0.7287393,0.7349518,0.7145776
2,1467,0.98515123,0.9636888,0.9592519,0.76375884,0.74516934,0.75548035,0.7558164,0.7515312,0.7150907
