,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.19264717,0.17790991,0.18390732,0.3322369,0.36636913,0.36584347,0.38857463,0.38749632,0.38624537
1,235,0.3155967,0.20620243,0.18158865,0.30256125,0.3320451,0.35464427,0.3473874,0.34635815,0.36019954
1,384,0.20249307,0.5239233,0.94206,0.5402263,0.40069062,0.3547072,0.34108895,0.3379662,0.3506071
1,440,0.2042842,0.25004598,0.2959631,0.38086393,0.30665866,0.3362676,0.33343387,0.37228587,0.3277927
1,458,0.34095812,0.17453977,0.20181231,0.32263705,0.3092813,0.3894751,0.36592835,0.3384018,0.4241068
1,471,0.43972063,0.22358117,0.29442793,0.27598387,0.34695143,0.3285446,0.29315832,0.29685977,0.30463398
1,534,0.15888666,0.20440012,0.30082014,0.3985929,0.398187,0.38292718,0.39153135,0.3871014,0.4522382
1,643,0.3550601,0.2988788,0.28436545,0.3597066,0.3565109,0.36829087,0.312884,0.32953387,0.34179848
1,862,0.17583978,0.18038099,0.16968754,0.25961068,0.27828756,0.29773998,0.33425158,0.3071727,0.29027215
1,918,0.4698407,0.29205242,0.41210994,0.5287229,0.5369557,0.61692625,0.5343938,0.506812,0.5172203
1,1005,0.17073354,0.1634202,0.2852963,0.36265698,0.41924536,0.3926067,0.39334035,0.3952837,0.4067868
1,1007,0.18626857,0.18794972,0.32828742,0.32819927,0.48233074,0.45209286,0.4392737,0.5784639,0.47855687
1,1161,0.19631836,0.23864035,0.27380195,0.37859544,0.4080356,0.34801129,0.34158483,0.40081236,0.38430393
1,1190,0.4115717,0.5077161,0.59722584,0.5497298,0.40693605,0.34289643,0.36297885,0.43178204,0.37518474
1,1395,0.25504506,0.17317104,0.16333224,0.27456164,0.3042978,0.30881417,0.31330806,0.32376608,0.32581103
1,1467,0.28909317,0.20295295,0.2183628,0.3335104,0.36970052,0.47696677,0.5440479,0.52468693,0.6820075
1,17314,0.24375795,0.2957733,0.2639599,0.39213318,0.36572602,0.3391434,0.3427966,0.35094488,0.36894652
1,55827,0.23604265,0.32432216,0.45325816,0.46169156,0.49911392,0.51437044,0.54277045,0.59600395,0.5435769
1,56424,0.22748686,0.23832491,0.31952906,0.43465784,0.41407803,0.40095866,0.3984856,0.4139284,0.43080726
1,56963,0.22489701,0.21493842,0.2124657,0.30745342,0.35665134,0.35278395,0.3512045,0.35909894,0.3723484
