,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.8558876,0.8513174,0.8345596,0.718378,0.6601984,0.663907,0.64662224,0.6277341,0.6692169
1,235,0.8179719,0.847596,0.8547273,0.77049035,0.74440026,0.7196861,0.72526056,0.7155659,0.7019381
1,384,0.8961981,0.8684446,0.7661664,0.75517035,0.7360716,0.6932015,0.69448805,0.7035002,0.7015188
1,440,0.91024464,0.89413327,0.8104468,0.7777052,0.77819705,0.81388277,0.80854017,0.8097468,0.81055945
1,458,0.80182385,0.82555604,0.84053594,0.7319128,0.72207665,0.67556447,0.6808695,0.717426,0.66825706
1,471,0.80524415,0.8108015,0.8909845,0.8042817,0.7835805,0.7598861,0.7369685,0.76739794,0.7231825
1,534,0.88874245,0.871931,0.83724123,0.6728649,0.6346167,0.6615018,0.6809869,0.66819245,0.6494126
1,643,0.73483294,0.7850881,0.74362546,0.7103555,0.70999795,0.7152919,0.7370617,0.72420126,0.72346705
1,862,0.8637987,0.8729534,0.86265993,0.79417807,0.79453945,0.7502032,0.79209775,0.7692731,0.75961065
1,918,0.8404638,0.8432918,0.8561954,0.77772933,0.7744774,0.74106914,0.7480176,0.74596906,0.7609441
1,1005,0.8428642,0.83095056,0.7584469,0.6423773,0.53897226,0.6356997,0.6459582,0.666344,0.6533206
1,1007,0.81169677,0.79479814,0.7105555,0.6000277,0.5223345,0.57439244,0.6119017,0.551451,0.537806
1,1161,0.79784393,0.8301585,0.8388725,0.7641499,0.7346649,0.7518399,0.7463698,0.74269205,0.7199221
1,1190,0.82001144,0.7290895,0.75044364,0.6173698,0.5473226,0.57192767,0.6330698,0.647767,0.608244
1,1395,0.8518787,0.8692746,0.8688986,0.7621589,0.7298303,0.71878904,0.69176465,0.7074668,0.662479
1,1467,0.8716883,0.8494425,0.8511272,0.75887305,0.73123103,0.7476483,0.7476337,0.7446349,0.7183211
1,17314,0.8103089,0.8005859,0.83535147,0.64914715,0.63335073,0.66123724,0.65755016,0.66774774,0.64722234
1,55827,0.78927094,0.78170586,0.7531347,0.7085471,0.6735552,0.6482227,0.66514874,0.6482734,0.6290722
1,56424,0.88952774,0.8497754,0.85669535,0.74993426,0.761065,0.7412147,0.7718663,0.7531299,0.754386
1,56963,0.8168795,0.87662005,0.89025146,0.82872295,0.80337524,0.79782456,0.7856202,0.8039613,0.7983553
