,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.63791347,0.62828153,0.6392159,0.63655156,0.6400542,0.63095605,0.6329175,0.64624393,0.62964654
2,235,0.5956549,0.5943887,0.6009608,0.597506,0.6005836,0.6013594,0.60109955,0.6104734,0.60352916
2,384,0.61360574,0.60621935,0.61621374,0.6193179,0.625769,0.6261829,0.6214906,0.6407117,0.6231548
2,440,0.565769,0.55991167,0.56801105,0.5715217,0.57703453,0.580258,0.5719277,0.59118754,0.5772258
2,458,0.57549167,0.5679948,0.5761728,0.57909566,0.58310944,0.5847768,0.5778495,0.5969888,0.58197916
2,471,0.5754559,0.5694232,0.579013,0.5825166,0.58630925,0.5882302,0.5805302,0.59903914,0.58578736
2,534,0.64260846,0.63322234,0.64507526,0.645582,0.6510653,0.6462474,0.6434794,0.65837353,0.6439854
2,643,0.62666804,0.61716926,0.62641686,0.6271924,0.63237935,0.6304394,0.6260497,0.64286137,0.6278569
2,862,0.54777426,0.5444514,0.55221397,0.5546877,0.55675447,0.560349,0.55282015,0.5675459,0.55805486
2,918,0.68255883,0.6773427,0.68307155,0.6776298,0.67768484,0.67361134,0.6754465,0.6836524,0.67749095
2,1005,0.653121,0.6494124,0.6572238,0.65172213,0.652091,0.6496201,0.6506706,0.6581206,0.6528466
2,1007,0.66128427,0.6563467,0.66369045,0.65782773,0.657852,0.65437347,0.65542364,0.6623175,0.6570646
2,1161,0.6047771,0.6043971,0.6089497,0.6033928,0.601985,0.60656726,0.6044555,0.6081721,0.6094836
2,1190,0.67823,0.66385305,0.67333025,0.676416,0.6809437,0.6733559,0.67006725,0.68657804,0.66865534
2,1395,0.6012505,0.5972747,0.6042978,0.60247725,0.6014941,0.6027616,0.5985961,0.6049526,0.6016202
2,1467,0.64069045,0.6353838,0.6415726,0.63786507,0.6398424,0.6365719,0.6366501,0.6433453,0.63651377
