,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.51288164,0.5057753,0.5120042,0.51020736,0.50319713,0.5138177,0.51388663,0.48843446,0.4960136
2,235,0.5877333,0.5912356,0.5880318,0.58746916,0.57852226,0.57538587,0.574899,0.5652438,0.5708178
2,384,0.6257256,0.63065326,0.63394743,0.6348862,0.6323085,0.62873596,0.6302709,0.6313318,0.64022
2,440,0.6587047,0.6666135,0.6777563,0.68436533,0.678726,0.687576,0.6831765,0.6828899,0.7008705
2,458,0.70399475,0.71129817,0.7152698,0.715446,0.7121727,0.6982586,0.69421166,0.69073534,0.6909718
2,471,0.58248734,0.54931885,0.58176416,0.5780912,0.59338087,0.59719986,0.57940274,0.5864194,0.59489506
2,534,0.5674321,0.5515856,0.56801707,0.5659066,0.5712066,0.5613172,0.55457646,0.55242115,0.56904095
2,643,0.5795477,0.58823305,0.589704,0.5870546,0.57540995,0.57250696,0.5781329,0.58005124,0.5813919
2,862,0.71350294,0.68228346,0.7068208,0.708832,0.71924704,0.7093422,0.7023974,0.71036625,0.7095885
2,918,0.7598664,0.748316,0.7719982,0.7708079,0.7795078,0.7816517,0.7813432,0.779751,0.7805931
2,1005,0.51393425,0.5112196,0.5166549,0.5161953,0.50427735,0.5012756,0.5040828,0.48761407,0.49696633
2,1007,0.48036763,0.4774256,0.48348388,0.48310456,0.47214487,0.46949592,0.47231913,0.45654655,0.46592018
2,1161,0.5473529,0.5600545,0.5619498,0.5592698,0.54415286,0.53835803,0.5498589,0.5495988,0.5606062
2,1190,0.5538445,0.5577417,0.5542803,0.5547044,0.55117553,0.58248967,0.58222866,0.5806404,0.5848815
2,1395,0.5685927,0.5721499,0.58060247,0.5764756,0.5684739,0.5610637,0.57661283,0.5720246,0.5619606
2,1467,0.61183685,0.65151006,0.6256655,0.63679534,0.6146081,0.6225293,0.6347836,0.6286542,0.63074356
