,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.6204443,0.61830133,0.64901406,0.66825193,0.68105865,0.71734864,0.6773525,0.6809226,0.68970805
1,235,0.5607907,0.563574,0.56392246,0.5687171,0.5784286,0.6146809,0.5832703,0.58510613,0.60395944
1,384,0.6141086,0.5962061,0.64558125,0.6508844,0.6131374,0.66086906,0.65304357,0.6616595,0.6526863
1,440,0.55952847,0.5867047,0.5755855,0.5541316,0.5345142,0.5478491,0.5501004,0.530304,0.54169977
1,458,0.526847,0.52911323,0.5429056,0.537701,0.5579282,0.53088754,0.5441417,0.5409408,0.5415544
1,471,0.52678263,0.5432613,0.5575943,0.55469,0.5640445,0.53878003,0.55453926,0.5432036,0.5338481
1,534,0.63266534,0.5993113,0.6069518,0.60631305,0.59113324,0.62830323,0.62334204,0.6085152,0.6228124
1,643,0.57500476,0.5724828,0.5955333,0.5815916,0.59575367,0.5821409,0.61963093,0.5928699,0.57415074
1,862,0.53904057,0.5150691,0.514727,0.50482464,0.5067448,0.5400603,0.5419002,0.5230046,0.542904
1,918,0.7925805,0.74276686,0.7684109,0.7779856,0.7842078,0.8096995,0.7663971,0.7720622,0.785427
1,1005,0.74077225,0.73253137,0.7410794,0.7857483,0.782163,0.762687,0.7084699,0.6984421,0.70361537
1,1007,0.7134037,0.70905,0.7264202,0.774548,0.79147524,0.7784412,0.7192462,0.73657787,0.7222759
1,1161,0.57544047,0.55895257,0.56970996,0.5605123,0.57133234,0.5821542,0.5547232,0.55375636,0.5523571
1,1190,0.6116434,0.6670318,0.69424343,0.6422322,0.65184575,0.6328856,0.63974226,0.661575,0.6227273
1,1395,0.57852536,0.5659064,0.61329144,0.5939789,0.5931941,0.64081335,0.60088146,0.6616819,0.63591546
1,1467,0.6677282,0.6378227,0.63312185,0.63831925,0.64807516,0.6879063,0.6514546,0.6708223,0.68618274
1,17314,0.63848835,0.5996481,0.6262366,0.6241729,0.60519457,0.6424448,0.63755643,0.6223289,0.63195944
1,55827,0.61897683,0.6169668,0.6203553,0.6339719,0.66634506,0.6813417,0.6635627,0.6698089,0.7109612
1,56424,0.6215807,0.6187862,0.632481,0.62575734,0.63306236,0.6230537,0.6324189,0.6438974,0.61746264
1,56963,0.6704253,0.6322592,0.63960594,0.6246251,0.6400784,0.6829426,0.65403724,0.67695737,0.68124354
