,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.5182162,0.5217964,0.5126102,0.5035071,0.49991998,0.49378288,0.48996106,0.48336998,0.4953632
1,235,0.59817225,0.5960375,0.59486294,0.5947753,0.59310967,0.58497256,0.57814354,0.57943505,0.57392913
1,384,0.6360088,0.638942,0.6168055,0.60466784,0.62193954,0.617601,0.5968905,0.612766,0.6315746
1,440,0.6823246,0.67692393,0.6659882,0.6701327,0.6665326,0.6707914,0.6751823,0.6883605,0.70654035
1,458,0.726751,0.722449,0.7259956,0.70978254,0.70255375,0.6960612,0.68179554,0.69947404,0.70748204
1,471,0.5393129,0.5562168,0.53891754,0.54104257,0.53530914,0.52543527,0.513771,0.5253084,0.54596674
1,534,0.55846775,0.5804932,0.5566466,0.53932625,0.5608559,0.55225664,0.53778297,0.5627007,0.5630785
1,643,0.60185915,0.6106816,0.60136944,0.5932988,0.5944787,0.59214693,0.58879584,0.59909636,0.6203373
1,862,0.70333886,0.708251,0.6949551,0.7011128,0.69806504,0.68284446,0.665652,0.67415714,0.69350654
1,918,0.7747403,0.78211576,0.7749986,0.7722013,0.77007717,0.7638571,0.7435827,0.7487571,0.75907356
1,1005,0.42989734,0.43009415,0.41544035,0.404416,0.40511048,0.4278871,0.4268206,0.4370604,0.45814303
1,1007,0.39904392,0.39553723,0.37585008,0.3720324,0.3627979,0.38706055,0.386484,0.38625875,0.42844048
1,1161,0.5776885,0.5983729,0.582187,0.57154834,0.5645637,0.53602463,0.5548633,0.5632966,0.5886258
1,1190,0.5718827,0.5706273,0.54932934,0.5660766,0.5743394,0.57028824,0.5751359,0.559611,0.56168824
1,1395,0.56861335,0.55239385,0.5227855,0.52110374,0.4874369,0.48170626,0.4905733,0.5085593,0.547127
1,1467,0.6354043,0.6374831,0.64351404,0.6531197,0.64884734,0.6398171,0.6564724,0.6642362,0.6538868
1,17314,0.5174162,0.5248589,0.5011018,0.49989244,0.50222766,0.50183624,0.49624312,0.50522166,0.5080528
1,55827,0.63923055,0.6206163,0.61838084,0.6062204,0.5761186,0.5572435,0.56934243,0.59809375,0.6035062
1,56424,0.7310372,0.72879285,0.7254071,0.7259658,0.7232669,0.7173114,0.72332853,0.7260937,0.73181087
1,56963,0.66079104,0.6836198,0.689328,0.6813988,0.6857944,0.682189,0.6949961,0.69922405,0.69870085
