,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.37259296,0.3597506,0.35363147,0.34861594,0.3411754,0.3442337,0.33939713,0.34592092,0.3603316
2,235,0.41972768,0.4203609,0.3917586,0.39435127,0.36359352,0.37038845,0.35373628,0.35270062,0.39936304
2,384,0.35626435,0.36037356,0.3292319,0.32410938,0.30253267,0.31069762,0.30092904,0.30587462,0.3420627
2,440,0.3397798,0.34466735,0.31237018,0.30996326,0.28934506,0.2947994,0.2852017,0.28487748,0.3280265
2,458,0.3942288,0.39583904,0.36867097,0.36450708,0.35847282,0.36471856,0.34503207,0.34092942,0.3747267
2,471,0.34669566,0.35370994,0.3293206,0.3231778,0.3100327,0.31401467,0.30350456,0.30382976,0.33175126
2,534,0.39923474,0.40002647,0.38364702,0.37979397,0.37234613,0.37574822,0.3691776,0.37378177,0.38799423
2,643,0.35372484,0.35599872,0.33212364,0.323275,0.30747682,0.31368756,0.30960208,0.31766364,0.33628717
2,862,0.32953775,0.3357638,0.30719408,0.30126932,0.28303924,0.2931349,0.28551126,0.2835253,0.31820825
2,918,0.5780311,0.5837901,0.5680707,0.5717519,0.5506708,0.5521886,0.5209743,0.50530756,0.5572445
2,1005,0.43467605,0.42346123,0.40304366,0.40022776,0.38522238,0.39539886,0.38382918,0.38416183,0.41718963
2,1007,0.43210343,0.4263457,0.40658024,0.4025746,0.38103485,0.38939637,0.36601964,0.35881242,0.39288232
2,1161,0.47654736,0.46787712,0.44321498,0.44159842,0.41298905,0.42634258,0.39353493,0.38520336,0.44762775
2,1190,0.3802808,0.38884526,0.36651862,0.3592134,0.35090485,0.3562056,0.3565838,0.36017206,0.384703
2,1395,0.42644975,0.42421106,0.40481874,0.40096873,0.38216117,0.3894322,0.36180353,0.35150743,0.39620912
2,1467,0.43552327,0.4363306,0.41740754,0.42029372,0.40156183,0.4084115,0.39696884,0.3986047,0.43900606
