,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.68924123,0.6808851,0.6713271,0.6767414,0.66673464,0.6683988,0.6641742,0.665342,0.6834107
2,235,0.7395801,0.7340081,0.7373872,0.7312371,0.7329724,0.72566056,0.73130184,0.74233913,0.7333765
2,384,0.75773436,0.7633426,0.76344967,0.751977,0.75286317,0.7392567,0.7399819,0.7542984,0.7495678
2,440,0.77406263,0.7752903,0.7658839,0.7653978,0.756373,0.7545719,0.7640328,0.7629443,0.79086477
2,458,0.73291844,0.7276748,0.72189546,0.72846454,0.72292614,0.7140572,0.70766973,0.7272026,0.7431646
2,471,0.75727606,0.75464684,0.75058395,0.75998974,0.7305162,0.7142295,0.7314294,0.7387669,0.741107
2,534,0.7124931,0.70313984,0.6928994,0.70665604,0.68838954,0.67836636,0.6901391,0.6998338,0.71464366
2,643,0.73266387,0.73308164,0.729436,0.7310235,0.7334335,0.7163184,0.7120671,0.7368192,0.729964
2,862,0.78231674,0.80488634,0.781384,0.78523,0.7750826,0.7672009,0.7697187,0.77852887,0.7934106
2,918,0.8074975,0.80934614,0.79250973,0.8033779,0.7866897,0.79746145,0.79750687,0.79647565,0.8074071
2,1005,0.6369649,0.63467246,0.6319329,0.63852507,0.63810617,0.6343294,0.64484733,0.6682741,0.6425853
2,1007,0.6063027,0.6077201,0.6128705,0.61148435,0.6115559,0.6092542,0.61109394,0.6484502,0.6322822
2,1161,0.6799844,0.6835811,0.66749865,0.6637211,0.6638013,0.6540715,0.6586316,0.6800058,0.67534685
2,1190,0.75244755,0.7479544,0.7541612,0.745183,0.7377222,0.7400963,0.7287645,0.7211146,0.7129109
2,1395,0.68913245,0.68922526,0.6683565,0.6683237,0.67584085,0.64963526,0.66986996,0.6868836,0.6798679
2,1467,0.73655957,0.735388,0.7334123,0.73307043,0.7368324,0.73041034,0.7223174,0.7372145,0.7118762
