,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.37453133,0.3655192,0.37163684,0.4169871,0.38911062,0.3692007,0.37282726,0.40566394,0.40716404
1,235,0.37467518,0.40819657,0.38787913,0.3919531,0.4263549,0.44491577,0.40315214,0.38683876,0.38384962
1,384,0.3329729,0.32020155,0.32633615,0.32577568,0.32795203,0.32310596,0.3438332,0.36690608,0.36064923
1,440,0.37997273,0.37720108,0.5154321,0.6990058,0.88503176,0.87790203,0.45014253,0.54985726,0.4512324
1,458,0.3611816,0.38231575,0.38201153,0.3837158,0.45659682,0.44712305,0.34886494,0.3511977,0.37372482
1,471,0.42394754,0.38544524,0.3751521,0.3726086,0.3361938,0.32655218,0.36429518,0.40814137,0.43492857
1,534,0.37770122,0.37677157,0.39342085,0.37356937,0.37749106,0.38510898,0.37128466,0.3674974,0.3910628
1,643,0.34461972,0.33716315,0.3590044,0.32861048,0.32777306,0.3217785,0.35411534,0.36043024,0.38975427
1,862,0.36196405,0.37119898,0.40079722,0.3550652,0.30672476,0.31659457,0.40228868,0.3953013,0.3680143
1,918,0.47973144,0.50062037,0.4895762,0.4954983,0.48118865,0.47475603,0.48985234,0.5033196,0.6059441
1,1005,0.40422937,0.4021464,0.40243307,0.39546192,0.39162,0.40362206,0.40358508,0.41534492,0.44513687
1,1007,0.3522371,0.34476665,0.35651538,0.3687564,0.35295,0.36344832,0.33906963,0.3590634,0.42055768
1,1161,0.3426382,0.3349874,0.35899198,0.33703882,0.3194093,0.33252543,0.32729453,0.3452864,0.36649036
1,1190,0.4010226,0.38871393,0.37778458,0.3588557,0.3586118,0.36525634,0.35682318,0.3680754,0.4210337
1,1395,0.3871628,0.37237206,0.4091133,0.4505791,0.43574607,0.47109827,0.3728432,0.388289,0.38121852
1,1467,0.50240743,0.44846362,0.43953574,0.44549954,0.42107844,0.48263708,0.50291806,0.51660436,0.7553449
1,17314,0.3905599,0.42073256,0.38407218,0.39537674,0.37006125,0.36205652,0.39063978,0.41457435,0.4467322
1,55827,0.5651722,0.56432647,0.58159393,0.5133525,0.51246274,0.54038244,0.5449709,0.6336679,0.6799142
1,56424,0.39028302,0.3902483,0.38348806,0.38861609,0.38774085,0.40883845,0.38829967,0.39575824,0.39915854
1,56963,0.37291622,0.39612672,0.4208195,0.42554817,0.4139177,0.40778664,0.3721068,0.3654923,0.3774511
