,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.6624976,0.6668107,0.6690085,0.65725654,0.64719397,0.6603103,0.64733946,0.60853916,0.642559
1,235,0.7265528,0.7290626,0.75385207,0.7417796,0.7172039,0.7291849,0.71040773,0.69453907,0.728487
1,384,0.7411869,0.7434457,0.7658665,0.73455876,0.7346702,0.71483666,0.72484106,0.7264313,0.7785831
1,440,0.79592377,0.81720525,0.81424505,0.81976837,0.80492014,0.7883273,0.8107527,0.81229615,0.7930631
1,458,0.76217246,0.7490925,0.737128,0.75154513,0.7349148,0.74150395,0.70955706,0.69817287,0.6953408
1,471,0.65186334,0.6777013,0.66578686,0.61327,0.64554524,0.6635095,0.6983351,0.66404307,0.6421695
1,534,0.7061632,0.7114816,0.7114995,0.6932571,0.6978888,0.7102969,0.69946,0.70321923,0.6912832
1,643,0.7121108,0.7172925,0.7146933,0.7100685,0.71413827,0.72128457,0.72345996,0.68844646,0.6833415
1,862,0.7276525,0.71774775,0.69132733,0.7046399,0.7087377,0.72214675,0.6876225,0.6928616,0.7235639
1,918,0.8002739,0.8124597,0.8202729,0.80794436,0.8132882,0.816057,0.82463074,0.8266287,0.8305955
1,1005,0.62597185,0.6220092,0.6467705,0.6496222,0.64710206,0.66029596,0.6616093,0.6423661,0.64107925
1,1007,0.6465478,0.6437443,0.63050675,0.61492175,0.61732477,0.65470076,0.6444845,0.6431146,0.5835189
1,1161,0.7207522,0.72226185,0.70774657,0.726371,0.72449845,0.7160854,0.7329056,0.7210389,0.7041983
1,1190,0.7214721,0.6943629,0.7071047,0.70460135,0.70607907,0.7293511,0.71595424,0.71362895,0.6861829
1,1395,0.7132463,0.6913564,0.6929508,0.71281624,0.7045512,0.7154882,0.70960736,0.7152693,0.7271054
1,1467,0.71602815,0.7405954,0.7382404,0.7263208,0.7331975,0.73510855,0.73543555,0.73077315,0.63158745
1,17314,0.66906196,0.6525256,0.68957204,0.68189454,0.66414326,0.65429646,0.6723483,0.66692024,0.6471962
1,55827,0.6463049,0.6858229,0.65963167,0.6780909,0.6753471,0.69820994,0.68327314,0.67809576,0.67921764
1,56424,0.7538112,0.77098155,0.77099437,0.7359703,0.72728544,0.72944564,0.72677565,0.73966503,0.71547127
1,56963,0.78325224,0.80363894,0.82066756,0.8159731,0.8169834,0.8033304,0.8046146,0.77117604,0.770746
