,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.063863605,0.06722533,0.07454423,0.40579572,0.4844481,0.53732455,0.5688476,0.5854036,0.5953258
2,235,0.061847877,0.063596256,0.07142237,0.37310058,0.45736203,0.5078514,0.5375893,0.5573765,0.56849855
2,384,0.058713023,0.058916774,0.062917925,0.33253473,0.40917215,0.45953137,0.4901178,0.50722057,0.51537555
2,440,0.059960775,0.05951607,0.06288322,0.3180025,0.38048288,0.4287092,0.4590777,0.4771206,0.48740384
2,458,0.05820515,0.05861265,0.061672486,0.31633326,0.37976387,0.42172036,0.45058507,0.4689021,0.4825728
2,471,0.05796616,0.057689488,0.06149344,0.3200449,0.38388553,0.42722687,0.4571141,0.47685602,0.4893421
2,534,0.058321416,0.05987067,0.06629142,0.3598198,0.44342944,0.49299437,0.5253911,0.5444209,0.5553706
2,643,0.05772305,0.058899324,0.06440195,0.3516954,0.41997224,0.46342713,0.49018872,0.509383,0.52108043
2,862,0.05695228,0.05686565,0.060076077,0.3078147,0.3734502,0.415871,0.4435816,0.46107036,0.47218415
2,918,0.062840834,0.0654992,0.074665755,0.39430267,0.49194878,0.55285805,0.5953895,0.62060034,0.6389087
2,1005,0.06070589,0.06386712,0.07052346,0.3752814,0.47183904,0.52992433,0.5675499,0.59009135,0.6036225
2,1007,0.06112165,0.063567445,0.070822775,0.3786777,0.47053048,0.5240827,0.56110823,0.5833734,0.59893155
2,1161,0.055931114,0.056718238,0.061344005,0.3204799,0.40902308,0.46781087,0.50895923,0.5351004,0.55265737
2,1190,0.057225484,0.05923448,0.06671786,0.36969465,0.4551788,0.50247574,0.53522265,0.5542745,0.56938946
2,1395,0.052816156,0.054073744,0.059474353,0.32547256,0.410987,0.46520865,0.50547445,0.5304239,0.5473868
2,1467,0.05858732,0.061131105,0.06843616,0.36921215,0.45191553,0.50615907,0.5448115,0.56730056,0.58045995
