,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.9768693,0.9750187,0.9543281,0.7128992,0.62629944,0.6107928,0.57433647,0.5450493,0.5367692
2,235,0.9771872,0.97443444,0.9562845,0.770982,0.69535786,0.6405892,0.6022105,0.5974033,0.5901117
2,384,0.98408955,0.98175883,0.9646404,0.7782808,0.750858,0.72998565,0.7102494,0.6976843,0.6906395
2,440,0.9893344,0.98498106,0.9764965,0.79461455,0.7645584,0.7434848,0.71078175,0.71325016,0.7137925
2,458,0.98911357,0.98375624,0.968497,0.8115499,0.7798161,0.7557377,0.74793243,0.75141007,0.74564713
2,471,0.9882641,0.9808395,0.96428585,0.7563861,0.72471863,0.6500337,0.61287993,0.5941717,0.6100509
2,534,0.98011035,0.9756298,0.9581935,0.7599704,0.6980137,0.67025036,0.6488423,0.62263703,0.598043
2,643,0.98421735,0.9815805,0.9511965,0.7396369,0.6884176,0.6608377,0.62895143,0.6261269,0.6141651
2,862,0.99030083,0.98410124,0.9733753,0.8252869,0.8148449,0.7721862,0.7466907,0.7349016,0.71263146
2,918,0.9890201,0.98484236,0.9622491,0.8280708,0.8123245,0.80897856,0.7816165,0.76552534,0.7599652
2,1005,0.97695667,0.97147346,0.95832413,0.6857631,0.647047,0.6161862,0.5773155,0.55747217,0.55528075
2,1007,0.97608525,0.9701995,0.9567725,0.69374204,0.63860756,0.59095407,0.5619698,0.53202045,0.5349789
2,1161,0.9830763,0.98062664,0.96477836,0.776486,0.7091508,0.6709721,0.6543035,0.63735783,0.62599736
2,1190,0.9900432,0.98597354,0.9757185,0.7719581,0.66707015,0.6473863,0.6508973,0.644413,0.63080645
2,1395,0.9804649,0.974644,0.9505275,0.7501404,0.7097767,0.6610729,0.64953786,0.62281984,0.6098871
2,1467,0.98704356,0.9852962,0.9657988,0.7661031,0.7208441,0.72450095,0.7346179,0.71942115,0.7109122
