,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.085732274,0.10901055,0.14566919,0.36807993,0.4429389,0.48611346,0.5111355,0.53134006,0.5491219
1,235,0.072413005,0.09510045,0.13058536,0.33733383,0.41403946,0.45762438,0.48500326,0.50854987,0.5248862
1,384,0.13803323,0.16281213,0.19596452,0.37567487,0.45437428,0.50013244,0.5325469,0.55661887,0.5747532
1,440,0.086445294,0.099970095,0.12551065,0.3100856,0.37804675,0.41779205,0.44500825,0.46465498,0.48000455
1,458,0.32446384,0.35635355,0.38111767,0.53191215,0.5903265,0.62235975,0.64648306,0.66759795,0.6865089
1,471,0.22827312,0.25748202,0.2880604,0.44877437,0.5152615,0.55216235,0.57909703,0.6019549,0.620987
1,534,0.065291636,0.074453376,0.1093676,0.3308087,0.4136719,0.45941964,0.49336952,0.51942307,0.5385068
1,643,0.1076133,0.121244274,0.14353928,0.36693653,0.44752377,0.49097142,0.51888525,0.5425798,0.56088483
1,862,0.08720623,0.096897855,0.12425842,0.29257464,0.36456335,0.40092096,0.42372248,0.44009426,0.45186812
1,918,0.16210562,0.17972463,0.20142168,0.432722,0.5464727,0.6175146,0.668165,0.7064024,0.73663443
1,1005,0.15642671,0.17998545,0.21141046,0.43003175,0.5364258,0.59900415,0.64526206,0.682532,0.7122616
1,1007,0.13940625,0.1580267,0.18118677,0.40730914,0.5108298,0.5680083,0.61028713,0.64586973,0.67717457
1,1161,0.12875617,0.1341144,0.14189126,0.32288295,0.41754183,0.4741779,0.51526356,0.5487324,0.57697713
1,1190,0.16039087,0.1714191,0.1913761,0.41614312,0.5118032,0.5667786,0.6067765,0.6370491,0.6626099
1,1395,0.13012566,0.14753357,0.17132907,0.3654139,0.4624495,0.5213793,0.5657773,0.59985346,0.62654626
1,1467,0.10660522,0.12003101,0.13985546,0.36083186,0.4462687,0.4929144,0.5249125,0.54746664,0.5644275
1,17314,0.09916739,0.09527242,0.1115707,0.3461656,0.4232492,0.46406558,0.4936292,0.51942533,0.53897846
1,55827,0.09529501,0.101461865,0.1307271,0.3920267,0.479832,0.52275586,0.5496672,0.5710389,0.58683413
1,56424,0.066104494,0.07719736,0.11228314,0.37660658,0.45567513,0.49805087,0.53637075,0.5621086,0.58017945
1,56963,0.12053719,0.14017089,0.16665971,0.37616205,0.46187612,0.51111734,0.5473816,0.57396525,0.59262794
