,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.93355376,0.89849305,0.84709144,0.6761195,0.6121301,0.58106667,0.5532811,0.5208972,0.5226925
1,235,0.9631479,0.93061334,0.87081784,0.76426977,0.7040863,0.6558648,0.6102002,0.6107978,0.6071635
1,384,0.8582316,0.80263346,0.72882456,0.64772016,0.6117289,0.58628815,0.5780285,0.5796712,0.5865701
1,440,0.9447565,0.9314277,0.8961045,0.7639063,0.7296099,0.70507884,0.67228895,0.673691,0.6769493
1,458,0.82698584,0.78593993,0.739306,0.6570923,0.6253571,0.604536,0.58570176,0.58180755,0.5813439
1,471,0.84323853,0.80608326,0.7527098,0.649921,0.610004,0.57469827,0.5438165,0.53126425,0.5229201
1,534,0.959394,0.92512536,0.85686165,0.7723053,0.7107365,0.6804924,0.66167134,0.6388987,0.619031
1,643,0.9172864,0.8937648,0.85003775,0.7249577,0.67772466,0.642534,0.6194971,0.6198891,0.6193101
1,862,0.94033796,0.9163275,0.8717428,0.82079154,0.8029352,0.773405,0.75853133,0.7480449,0.73639363
1,918,0.94681406,0.9315159,0.9050848,0.81531024,0.8173247,0.81313235,0.7907539,0.77599055,0.7671023
1,1005,0.92990965,0.90010065,0.8512361,0.6417474,0.61235386,0.5878968,0.55648303,0.5372254,0.53452957
1,1007,0.9334664,0.9066089,0.85623986,0.64798886,0.6048702,0.5681442,0.5489026,0.52321965,0.518022
1,1161,0.9329458,0.9059739,0.852879,0.7645249,0.6990919,0.6592371,0.6382844,0.61582786,0.60335195
1,1190,0.9275732,0.90901995,0.8737154,0.7207828,0.6547401,0.6585603,0.6452206,0.6326372,0.60431486
1,1395,0.91137797,0.8957955,0.85759264,0.6926727,0.6629864,0.63044506,0.61402863,0.6019814,0.5892809
1,1467,0.92999464,0.9036551,0.8700018,0.6933501,0.65476435,0.66556174,0.6636763,0.6625195,0.65637547
1,17314,0.9493768,0.9228437,0.8577655,0.7378364,0.6858628,0.6304433,0.59368896,0.5946099,0.57100624
1,55827,0.95295554,0.92521995,0.86704654,0.7483384,0.7107906,0.68964463,0.6746598,0.67053276,0.6763356
1,56424,0.95331144,0.9243107,0.87389797,0.7548093,0.73524356,0.72550386,0.716788,0.71461993,0.7107195
1,56963,0.9428024,0.92864823,0.8927805,0.8057068,0.7812302,0.76176673,0.7400337,0.72717446,0.71973515
