,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.02242629,0.027560076,0.0334012,0.27868694,0.30480608,0.32223377,0.33360624,0.34202093,0.3467952
2,235,0.022222556,0.027204521,0.033766225,0.261136,0.29119486,0.30889067,0.32039925,0.33030432,0.3367134
2,384,0.02354324,0.029500775,0.03732883,0.24894503,0.26865652,0.2805864,0.2921514,0.29884538,0.30221424
2,440,0.022891019,0.030210188,0.038172208,0.24267174,0.2545641,0.26699424,0.2782882,0.28254434,0.28345212
2,458,0.023817884,0.031226529,0.039801758,0.2674221,0.29669097,0.31340086,0.32867187,0.33988547,0.34771767
2,471,0.024225278,0.031620067,0.03986401,0.24023834,0.26667616,0.28465816,0.2980013,0.30438906,0.30749592
2,534,0.022441953,0.028584909,0.036352172,0.30626816,0.34305844,0.35403222,0.3612388,0.36461473,0.36567575
2,643,0.02186138,0.026972104,0.033565834,0.26014644,0.27590755,0.28811198,0.29942787,0.30611774,0.31043464
2,862,0.021823255,0.02887751,0.0365514,0.23816441,0.2570959,0.27076563,0.2838268,0.2911118,0.29553607
2,918,0.028733596,0.035929233,0.04346903,0.37632284,0.4583498,0.5015683,0.5260997,0.5372214,0.54224116
2,1005,0.02049041,0.024902644,0.030072859,0.29549643,0.32918608,0.34306473,0.35588634,0.3669584,0.37544638
2,1007,0.019570827,0.023820018,0.028596453,0.26282585,0.29958254,0.31845307,0.3335324,0.34477833,0.35341525
2,1161,0.024513498,0.02874818,0.033801746,0.23081139,0.27324957,0.29696372,0.31516904,0.3273545,0.33456156
2,1190,0.029538808,0.033771664,0.04170272,0.27368227,0.30756843,0.32909057,0.34633654,0.3564772,0.36200252
2,1395,0.021028088,0.025927082,0.030174334,0.23387232,0.26926154,0.28885293,0.30776387,0.32067704,0.33097672
2,1467,0.022926008,0.028084643,0.033275235,0.2666199,0.30857956,0.336427,0.35711932,0.37027168,0.3785978
