,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.9797258,0.977458,0.9750897,0.73695403,0.69502443,0.68501097,0.6710647,0.6662094,0.6773289
2,235,0.9833377,0.98101026,0.97805786,0.81451505,0.79814506,0.79116327,0.79080516,0.7875395,0.7839269
2,384,0.9852381,0.9833092,0.9809137,0.8132914,0.801903,0.79621774,0.79001695,0.7852374,0.7818508
2,440,0.9885085,0.98622704,0.983283,0.83710724,0.81973964,0.8187645,0.8208716,0.81874067,0.8195338
2,458,0.9848526,0.98312813,0.9796886,0.8103531,0.76697206,0.7670025,0.76703495,0.7740462,0.7737071
2,471,0.98449993,0.9826749,0.98012304,0.8174455,0.8198347,0.8169694,0.8123197,0.8089039,0.8100113
2,534,0.98300236,0.9813326,0.97631437,0.790158,0.74546194,0.74537235,0.7403324,0.7362805,0.73364025
2,643,0.9849162,0.98317116,0.97824115,0.7883923,0.75882596,0.7521396,0.74059385,0.7357382,0.73021054
2,862,0.9902937,0.98808265,0.9831572,0.8526384,0.8473814,0.8399985,0.83590335,0.83243984,0.83355737
2,918,0.9875371,0.98604536,0.98315483,0.84384656,0.8453937,0.8366596,0.83382225,0.83248997,0.83390874
2,1005,0.98116857,0.9798608,0.97810435,0.7335065,0.7078164,0.70195985,0.6966011,0.6869848,0.68676496
2,1007,0.9828501,0.98134524,0.9787763,0.7389083,0.68831974,0.66567683,0.6631298,0.65849656,0.65705436
2,1161,0.9835587,0.98219544,0.97858995,0.80219936,0.7721222,0.76342624,0.7628028,0.7592499,0.7542705
2,1190,0.98572356,0.9835799,0.97867614,0.7884653,0.74759024,0.75881976,0.76104563,0.75374657,0.750809
2,1395,0.98416,0.98183775,0.9780794,0.7813497,0.7668123,0.75499845,0.75176734,0.75128746,0.74497026
2,1467,0.98523927,0.98290807,0.97821355,0.79685616,0.77267885,0.77070904,0.7685873,0.7564852,0.7429852
