,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.17497288,0.1780376,0.2087905,0.3451128,0.35955802,0.3652533,0.36600703,0.3672031,0.36791754
1,235,0.13098627,0.133111,0.15345854,0.31408828,0.32753357,0.3316043,0.3364862,0.34445745,0.35512176
1,384,0.06308875,0.06057087,0.082638875,0.24682884,0.2697638,0.27479017,0.27646843,0.27692783,0.27610475
1,440,0.056354772,0.055626743,0.0684879,0.23570146,0.25505227,0.26144513,0.26362124,0.26476383,0.26476133
1,458,0.09206445,0.10009232,0.11693708,0.26557678,0.3006378,0.30895266,0.31549832,0.32088786,0.32360753
1,471,0.19781607,0.20062375,0.23644651,0.35722956,0.3410431,0.33750865,0.33849725,0.33897167,0.33946297
1,534,0.1584837,0.15476346,0.20796368,0.34750113,0.36541122,0.36823463,0.3693183,0.36974216,0.36990458
1,643,0.14587955,0.14011484,0.13282405,0.2806414,0.2909878,0.295821,0.29814893,0.30017918,0.30075544
1,862,0.112858176,0.12450297,0.15262859,0.27001834,0.29310086,0.29898927,0.30223918,0.30505592,0.3038937
1,918,0.113032654,0.11186568,0.085869014,0.399002,0.48342505,0.51507795,0.5218685,0.52018046,0.51719946
1,1005,0.115933485,0.1115656,0.13414441,0.34933642,0.3750142,0.38755718,0.39214143,0.39313403,0.39448765
1,1007,0.15189876,0.14778532,0.21128581,0.31281623,0.31335798,0.31524122,0.317375,0.3193739,0.32024524
1,1161,0.110786356,0.10362974,0.10019997,0.23542692,0.26402092,0.27306616,0.27680206,0.27853015,0.28039354
1,1190,0.10571992,0.11051509,0.12560889,0.2918447,0.3168759,0.32323748,0.32447073,0.32400933,0.3255127
1,1395,0.066144265,0.062845655,0.070275426,0.23488432,0.26887017,0.27919102,0.28443593,0.28720325,0.288942
1,1467,0.1929008,0.18971401,0.18377705,0.35394308,0.37718016,0.38762093,0.3910061,0.39152527,0.3926562
1,17314,0.12317882,0.12166174,0.13584141,0.31068838,0.32723263,0.33257276,0.33439097,0.33453912,0.3351735
1,55827,0.087916724,0.09081065,0.09805545,0.40264642,0.47522986,0.49999982,0.5097176,0.5142306,0.51688856
1,56424,0.09315577,0.09047937,0.09151954,0.33571017,0.3700478,0.38162848,0.39429086,0.40360942,0.411481
1,56963,0.069300905,0.06726283,0.078312755,0.28285155,0.3165594,0.3267713,0.3312886,0.33479688,0.33766577
