,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.87054616,0.8650131,0.84521633,0.6831258,0.6272094,0.6093529,0.59624195,0.58131236,0.6002963
1,235,0.9158856,0.9143068,0.9048352,0.74711674,0.71719676,0.71238637,0.70758915,0.70469713,0.70139605
1,384,0.9699045,0.9658403,0.95196867,0.81227136,0.8056822,0.80207354,0.79798025,0.79629517,0.79252666
1,440,0.97444993,0.97110486,0.9616932,0.84940463,0.8296197,0.83366996,0.83331877,0.835313,0.8361154
1,458,0.94511074,0.9488147,0.94216967,0.8057557,0.77238446,0.7652826,0.761947,0.76203066,0.7605439
1,471,0.9324787,0.9259155,0.9070647,0.72481126,0.7510279,0.76448894,0.7592969,0.7572774,0.756716
1,534,0.91231495,0.90595764,0.8836914,0.7273743,0.6826529,0.6699755,0.6708111,0.67417663,0.67971164
1,643,0.92767173,0.92534155,0.9078103,0.77227545,0.7581156,0.75334567,0.7534928,0.75648457,0.75435895
1,862,0.95370907,0.94678044,0.93779254,0.8266072,0.812596,0.8060436,0.8063721,0.80489224,0.8053317
1,918,0.96692157,0.97079116,0.9588991,0.8334176,0.8193772,0.8166177,0.80690473,0.79793596,0.7949378
1,1005,0.93612,0.93300587,0.9061072,0.7150826,0.6839512,0.67414767,0.6676271,0.66074425,0.6630849
1,1007,0.89555913,0.89244384,0.8395408,0.672385,0.6450494,0.6431208,0.64007825,0.63690203,0.6395212
1,1161,0.92517257,0.91994137,0.89838606,0.7577143,0.75823265,0.7536726,0.7486958,0.7479317,0.752121
1,1190,0.9494965,0.94671744,0.9333248,0.7819843,0.7609286,0.7706013,0.772578,0.7746416,0.77366036
1,1395,0.94953316,0.94915956,0.93142873,0.7836818,0.7585633,0.73779064,0.73168206,0.7374322,0.7279587
1,1467,0.9539276,0.9493173,0.93535614,0.7692387,0.7529729,0.75160915,0.74750614,0.7434611,0.74140507
1,17314,0.93122333,0.9304239,0.90943193,0.7382278,0.70330197,0.6930434,0.6857452,0.68429357,0.6822347
1,55827,0.9403012,0.9398346,0.93054026,0.76033217,0.7092162,0.7044396,0.6945147,0.6959443,0.6944726
1,56424,0.94514006,0.9421411,0.927977,0.7921602,0.767097,0.75735587,0.75417644,0.74987584,0.7447168
1,56963,0.96900195,0.96460325,0.9567408,0.83213145,0.810134,0.81028086,0.8087147,0.80317277,0.8008609
