,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.62737775,0.6274284,0.62752426,0.62762463,0.6278412,0.6281194,0.6283473,0.62900734,0.6291412
2,235,0.6177098,0.6171929,0.61713856,0.6168895,0.61691254,0.6170553,0.61720484,0.6178027,0.61808
2,384,0.6138459,0.61377996,0.6137586,0.6138039,0.61393,0.6140924,0.6141848,0.6143631,0.6142953
2,440,0.5852779,0.5847819,0.5843913,0.5841831,0.5842993,0.584439,0.58446646,0.5846278,0.5846541
2,458,0.58707535,0.58688843,0.5866879,0.5865744,0.58662903,0.58685994,0.5869208,0.5872167,0.58717316
2,471,0.5958372,0.595549,0.595307,0.59535354,0.5953561,0.5953568,0.5954417,0.5957576,0.59570724
2,534,0.6321745,0.63223654,0.6323322,0.63243663,0.63250566,0.63255966,0.6326392,0.6328475,0.6329176
2,643,0.6244509,0.6243218,0.62460196,0.6249706,0.6253078,0.6258097,0.6258685,0.62663585,0.6269334
2,862,0.58693767,0.58666056,0.5863716,0.58635324,0.5863834,0.5864511,0.58653504,0.58663684,0.58656996
2,918,0.69293034,0.6922793,0.6918267,0.6913616,0.69099534,0.69064337,0.6902838,0.69042283,0.690286
2,1005,0.6652832,0.6645578,0.6642882,0.66397816,0.6640953,0.66405433,0.6643553,0.6649304,0.66520774
2,1007,0.67027205,0.66961515,0.6693892,0.6690126,0.6689549,0.6688226,0.668937,0.6694055,0.66968507
2,1161,0.6439413,0.6426535,0.64182323,0.64132094,0.6411508,0.64117146,0.6412707,0.6412828,0.64124584
2,1190,0.64647865,0.64650685,0.6464912,0.64667875,0.6469206,0.64710647,0.6472656,0.64795405,0.64823043
2,1395,0.6376458,0.6370907,0.6369866,0.637535,0.638154,0.63863945,0.63921756,0.63971394,0.6397172
2,1467,0.6451948,0.6445539,0.64428294,0.6441502,0.64393,0.644018,0.64433706,0.6448392,0.64474857
