,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.50459,0.5045285,0.5041247,0.5039102,0.503901,0.5038349,0.5037306,0.49850288,0.5056355
2,235,0.5820065,0.5822551,0.5824682,0.5826159,0.58285767,0.5828983,0.5831859,0.5828307,0.58245873
2,384,0.6596355,0.65955406,0.6596491,0.65979224,0.6598436,0.6599151,0.65941685,0.6602059,0.66048807
2,440,0.6726602,0.6723991,0.67213255,0.6717126,0.6705296,0.6703908,0.67075944,0.67186165,0.67262155
2,458,0.71534175,0.71551704,0.7155061,0.7154564,0.71535283,0.7154456,0.70946294,0.7098541,0.7100021
2,471,0.57218874,0.5719449,0.57169837,0.5713422,0.5731314,0.5731921,0.5702277,0.5725861,0.57299614
2,534,0.5628319,0.56374025,0.56453973,0.56506175,0.56533784,0.5657049,0.56611747,0.566617,0.56681705
2,643,0.5899317,0.58996826,0.5897431,0.5894216,0.5899976,0.5899927,0.5899597,0.59706587,0.59721893
2,862,0.7043507,0.7040039,0.7036752,0.70330423,0.70298076,0.7028768,0.7029753,0.703468,0.7039001
2,918,0.7819428,0.78138685,0.7809522,0.78077006,0.7807098,0.78071946,0.7781399,0.77472097,0.77485275
2,1005,0.49954125,0.49970472,0.49972293,0.4997616,0.49964443,0.49963632,0.4997456,0.5003201,0.5003845
2,1007,0.46948895,0.46967757,0.46966842,0.46965373,0.46966398,0.46974882,0.46993068,0.4703256,0.4704199
2,1161,0.56137115,0.56228155,0.56300527,0.5635994,0.5639938,0.56421196,0.5642831,0.56426394,0.5643054
2,1190,0.56974936,0.5697708,0.56964374,0.5695584,0.56946135,0.5692989,0.5693779,0.5692782,0.5685157
2,1395,0.5723369,0.5724961,0.5730306,0.5734775,0.5737274,0.5739158,0.57406706,0.5740803,0.5740728
2,1467,0.6446553,0.6449482,0.6447714,0.6446449,0.64442533,0.6442648,0.6440874,0.643285,0.64324886
