,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.63039774,0.6304388,0.6304572,0.63037044,0.6303453,0.630429,0.6305076,0.63098824,0.6309076
1,235,0.68576473,0.6855692,0.68572503,0.68568015,0.68571275,0.6857193,0.6857,0.68611115,0.68617344
1,384,0.610063,0.6099892,0.60991585,0.60994416,0.6099749,0.61007214,0.6101842,0.6104031,0.6103654
1,440,0.62985075,0.6297692,0.62972844,0.6297597,0.629968,0.6301869,0.6302938,0.6305376,0.6305458
1,458,0.58147997,0.5812814,0.58108944,0.58095384,0.5809015,0.58112204,0.58118296,0.5814815,0.58142436
1,471,0.58445007,0.584291,0.58417904,0.5842753,0.58427054,0.5842846,0.5843754,0.5846771,0.58459
1,534,0.6620044,0.66190016,0.6618434,0.66187155,0.66186607,0.66186196,0.661917,0.6620935,0.6621298
1,643,0.595411,0.5951455,0.5951449,0.5952407,0.5953666,0.5955536,0.5953706,0.59580874,0.5958933
1,862,0.5484244,0.5484925,0.5482935,0.54818934,0.54814035,0.5481117,0.5481297,0.5481951,0.54809594
1,918,0.67289084,0.6725205,0.6723811,0.67212766,0.6721248,0.67207545,0.67193764,0.6722588,0.6722488
1,1005,0.6789095,0.6785155,0.67857325,0.67861724,0.6789453,0.6792926,0.6795868,0.6800563,0.68023205
1,1007,0.6615383,0.6612467,0.66132057,0.661225,0.6613703,0.6616689,0.6618806,0.6623095,0.6624874
1,1161,0.571323,0.57095027,0.5705818,0.5701779,0.5700957,0.5703442,0.5705222,0.5705519,0.5704889
1,1190,0.65065753,0.6506343,0.6506211,0.6508964,0.6513415,0.6515712,0.65167063,0.6521561,0.652285
1,1395,0.5878634,0.5876036,0.58731216,0.5874686,0.5877804,0.58790475,0.5882095,0.588436,0.58828455
1,1467,0.5996439,0.59939367,0.59922296,0.59906274,0.5988431,0.59887403,0.5991167,0.5994718,0.5992866
1,17314,0.61112845,0.61106116,0.6110413,0.6110429,0.61105514,0.61097044,0.61088204,0.6112563,0.6112755
1,55827,0.6571422,0.6569521,0.6568796,0.65672815,0.65659916,0.6563836,0.65629214,0.65668803,0.65671355
1,56424,0.62186885,0.6217975,0.6218164,0.621873,0.62178284,0.6218955,0.62198514,0.6226117,0.62255764
1,56963,0.60068417,0.6007014,0.60055906,0.6002781,0.6000691,0.5999993,0.59999067,0.6004638,0.60049534
