,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.50020593,0.50033754,0.5002095,0.5000771,0.49992803,0.49984583,0.49988827,0.49485645,0.49784684
1,235,0.5763584,0.57640177,0.576348,0.576256,0.576266,0.57630134,0.57708806,0.5770775,0.5770659
1,384,0.6734121,0.67364186,0.67383724,0.67398506,0.67408556,0.67409605,0.6734576,0.67395,0.6740046
1,440,0.68354774,0.68363523,0.68368584,0.68366665,0.6827255,0.6826666,0.6825516,0.68266064,0.68269366
1,458,0.69132286,0.6919064,0.69246364,0.69295835,0.6933089,0.69367677,0.6863461,0.6866928,0.6868511
1,471,0.52792627,0.52715826,0.5264325,0.5258413,0.5281048,0.5279087,0.5225101,0.52419764,0.5241676
1,534,0.53731984,0.5378354,0.53806657,0.5380886,0.5380469,0.5382721,0.5385642,0.53906125,0.53917867
1,643,0.6148358,0.61520153,0.61527747,0.6151305,0.6156902,0.615606,0.6150972,0.6218196,0.62199646
1,862,0.68480617,0.6847885,0.68482065,0.6848784,0.6849032,0.6849289,0.68491274,0.6851055,0.68509513
1,918,0.77270204,0.77274305,0.7726946,0.77259207,0.77248675,0.7724219,0.76979727,0.7657676,0.76580983
1,1005,0.4790003,0.48007056,0.4808277,0.48150674,0.48188105,0.48225102,0.4826722,0.48340178,0.48362115
1,1007,0.4577826,0.45855343,0.45913073,0.45961642,0.46002373,0.46039248,0.4608666,0.46137214,0.46159995
1,1161,0.592978,0.5934692,0.5939097,0.59424406,0.5944721,0.5946934,0.59480494,0.5948648,0.59493285
1,1190,0.5769214,0.5765349,0.57604367,0.5756628,0.5754062,0.5750897,0.57498145,0.5748421,0.5744791
1,1395,0.61320275,0.6134996,0.6137667,0.6140005,0.6141911,0.6143727,0.61450535,0.61410505,0.6141525
1,1467,0.6859779,0.68673444,0.68705034,0.68725705,0.68730956,0.68739176,0.6875014,0.6860006,0.6860008
1,17314,0.50595266,0.5063277,0.5066309,0.5069142,0.5070514,0.5075303,0.5077037,0.5074384,0.5075367
1,55827,0.661231,0.6615429,0.661637,0.66170394,0.6617521,0.66179127,0.6617428,0.66919166,0.66924125
1,56424,0.7357299,0.73573685,0.73572946,0.7356846,0.7356143,0.7355447,0.7355018,0.7359138,0.7374773
1,56963,0.72979283,0.7306206,0.73132366,0.7319805,0.7324342,0.7327988,0.73306483,0.7328005,0.73294646
