,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.34159958,0.34261984,0.34304488,0.3434177,0.34333095,0.34388906,0.34376144,0.3438077,0.34225157
2,235,0.32191613,0.32372293,0.32478848,0.32598454,0.32732558,0.32868978,0.32950473,0.33060202,0.33060294
2,384,0.2785788,0.27894378,0.27956143,0.28042203,0.28074253,0.28064337,0.2814582,0.28198293,0.28183585
2,440,0.26608372,0.266383,0.26665303,0.2673396,0.26827538,0.26873845,0.2693188,0.26984,0.27004337
2,458,0.33487442,0.33549204,0.3356546,0.3367068,0.33727628,0.33782667,0.3393911,0.34066632,0.34129918
2,471,0.26404944,0.26432273,0.26404524,0.26375276,0.26338705,0.26348352,0.26427948,0.26491934,0.26576114
2,534,0.36373788,0.36384743,0.3640438,0.36437166,0.36444774,0.3646214,0.3657438,0.36647713,0.36640447
2,643,0.28933093,0.2898565,0.28996733,0.29048368,0.29071966,0.29102406,0.2913828,0.29260722,0.29319873
2,862,0.2612108,0.2618677,0.2621392,0.2624011,0.26239437,0.26260003,0.26340923,0.26387239,0.26433176
2,918,0.52907085,0.5284634,0.52812386,0.52880263,0.5316469,0.5329114,0.5313309,0.5323808,0.53299934
2,1005,0.37824196,0.38015017,0.38150376,0.38383105,0.38649875,0.3890517,0.39063662,0.39177686,0.3921934
2,1007,0.33831707,0.33807176,0.3379619,0.33698025,0.33794388,0.33907908,0.33994254,0.34173784,0.34284952
2,1161,0.34732923,0.34607792,0.34562513,0.3460814,0.3477908,0.3484461,0.34821746,0.34985647,0.3506818
2,1190,0.3303225,0.32982016,0.32892644,0.3291353,0.32987624,0.33092573,0.33145154,0.33292317,0.33445516
2,1395,0.32877922,0.32743597,0.32619336,0.32585448,0.32682672,0.327702,0.32814375,0.32939476,0.3298378
2,1467,0.39227203,0.39283448,0.39469957,0.39734256,0.39997214,0.40185583,0.40396446,0.40626806,0.40766802
