,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.61703175,0.6186917,0.62135816,0.62099725,0.6230908,0.62523186,0.6247749,0.6176335,0.6540251
2,235,0.7589138,0.7576997,0.75721955,0.7566728,0.75418806,0.7519266,0.751328,0.7511735,0.751398
2,384,0.7920556,0.79165465,0.7900987,0.7890733,0.78797513,0.7877585,0.7882529,0.78915834,0.7889032
2,440,0.79384905,0.7942768,0.7953415,0.796104,0.7934335,0.79355526,0.7958169,0.79748386,0.7972767
2,458,0.7991051,0.7999955,0.8005936,0.8001755,0.7983976,0.7957153,0.78901196,0.7884385,0.7889285
2,471,0.7648912,0.75654024,0.7500635,0.7507922,0.7539761,0.7555782,0.75632256,0.7596964,0.7644136
2,534,0.7098798,0.7154655,0.7164034,0.7159035,0.7140133,0.7124648,0.7105839,0.71244717,0.7145016
2,643,0.74516135,0.74495244,0.7441745,0.74373895,0.74273425,0.74085116,0.7390891,0.7438054,0.7428975
2,862,0.7887997,0.7919147,0.79242533,0.7911586,0.7893379,0.78870803,0.7879145,0.78865075,0.7895687
2,918,0.8014925,0.80275697,0.8030882,0.8021099,0.8011233,0.80168176,0.8028441,0.80413955,0.8051474
2,1005,0.6478093,0.64012843,0.6364178,0.633267,0.6315964,0.63088155,0.6292973,0.62712616,0.6311651
2,1007,0.6443181,0.64956933,0.65069985,0.6524362,0.6523931,0.65242904,0.6529789,0.6539795,0.6533919
2,1161,0.71100205,0.7106007,0.709322,0.7043755,0.7025749,0.7007332,0.7012215,0.7022343,0.7027323
2,1190,0.7400453,0.7390146,0.7375849,0.7373341,0.7376036,0.73687035,0.7374549,0.7394381,0.73879766
2,1395,0.7015719,0.7018358,0.7037115,0.7037297,0.7035141,0.7032943,0.70426637,0.7033722,0.7048321
2,1467,0.7159284,0.7154028,0.7151527,0.7141147,0.7152402,0.715414,0.7151794,0.7133255,0.7114771
