,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.33941215,0.33951235,0.339539,0.33959645,0.33986077,0.33956367,0.33911023,0.3390052,0.33892572
1,235,0.3090401,0.30888283,0.30864048,0.30819106,0.30775946,0.3073468,0.30673465,0.30659732,0.3068108
1,384,0.29027632,0.290016,0.28991422,0.29003334,0.29030967,0.29071397,0.29102138,0.29134697,0.2917215
1,440,0.2567701,0.25636595,0.25634852,0.25682363,0.2574382,0.25823224,0.25899434,0.25937423,0.25951126
1,458,0.33519334,0.33527058,0.33486387,0.33401528,0.33410898,0.33447397,0.33541554,0.3364099,0.33640045
1,471,0.2793873,0.27953708,0.27962962,0.2799315,0.28133312,0.28335342,0.2852912,0.2869312,0.28766876
1,534,0.3885611,0.38814566,0.3881068,0.38814557,0.38785875,0.387282,0.3865008,0.3857916,0.385436
1,643,0.31225687,0.31251583,0.31355304,0.31554085,0.31768566,0.3207204,0.32310033,0.32517335,0.32677093
1,862,0.26783925,0.26767105,0.26794493,0.26861712,0.26884353,0.26902843,0.2684585,0.26708677,0.26658022
1,918,0.46475545,0.46630755,0.46811265,0.46989036,0.471866,0.47430992,0.476642,0.4792475,0.4822777
1,1005,0.42534152,0.42315704,0.4217881,0.4208466,0.42050973,0.41947705,0.4175818,0.415301,0.41291767
1,1007,0.3208865,0.32052433,0.32072964,0.32115975,0.3218189,0.32252446,0.32292396,0.32352573,0.32400241
1,1161,0.35263106,0.3524108,0.35251838,0.3527844,0.35296384,0.35290906,0.3524919,0.35213208,0.3518943
1,1190,0.33324087,0.33302775,0.33253488,0.3318201,0.33204287,0.33322784,0.33516705,0.3389638,0.34362543
1,1395,0.35507187,0.35500613,0.35543227,0.35644394,0.35740596,0.3581064,0.35756394,0.35639963,0.35359672
1,1467,0.3816934,0.3817757,0.38104567,0.3803199,0.3790759,0.37788552,0.37746775,0.3775203,0.3761723
1,17314,0.3535856,0.35387507,0.3542828,0.35435408,0.35432518,0.3533588,0.35157856,0.35023847,0.34922844
1,55827,0.5411895,0.5413707,0.5415259,0.54170513,0.54198706,0.54222655,0.5426311,0.54345196,0.5440427
1,56424,0.41258377,0.41136903,0.40963948,0.40751743,0.405736,0.4047573,0.40424025,0.40397906,0.4045056
1,56963,0.34657875,0.34709436,0.3472367,0.34783027,0.34867066,0.34978652,0.35035074,0.35082236,0.35224214
