,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.70682526,0.7035718,0.70190364,0.70018625,0.6963785,0.69253945,0.690437,0.6829595,0.6963088
1,235,0.74635726,0.7449735,0.7433915,0.74297434,0.74321103,0.7440724,0.7458196,0.74673104,0.7467237
1,384,0.7814477,0.78318954,0.78537303,0.7866184,0.78670996,0.78526783,0.7838857,0.7843959,0.7841442
1,440,0.8320126,0.8315751,0.8310682,0.83029956,0.82910794,0.8280351,0.82707757,0.8268435,0.8270157
1,458,0.77283454,0.77365667,0.77358514,0.7734969,0.7735521,0.7753968,0.77214,0.77292067,0.77372336
1,471,0.7022825,0.704482,0.70717025,0.7083144,0.7081236,0.70783305,0.70314926,0.7035671,0.70521206
1,534,0.743599,0.7420218,0.74130267,0.7413097,0.7417941,0.7413538,0.74003464,0.7393896,0.7387817
1,643,0.7376724,0.73845,0.7382388,0.7373269,0.73634833,0.7349241,0.7333848,0.73735833,0.73515147
1,862,0.7843571,0.7861839,0.7879119,0.78814286,0.7869663,0.7846411,0.7831685,0.7827637,0.7824014
1,918,0.82663065,0.82640666,0.8257851,0.8244254,0.8234224,0.82218665,0.82162243,0.81757474,0.81697375
1,1005,0.66334206,0.6649012,0.6647701,0.6653194,0.66632766,0.6701522,0.6701774,0.6691453,0.66739535
1,1007,0.6404448,0.64255375,0.6448974,0.6469596,0.64823216,0.6514149,0.6517593,0.6507548,0.648748
1,1161,0.6334192,0.63733405,0.64008385,0.6419312,0.64301175,0.6439548,0.64384025,0.6442552,0.64398605
1,1190,0.7529581,0.75365925,0.75512224,0.7556875,0.7567608,0.7569793,0.7570746,0.75678873,0.7578623
1,1395,0.7265098,0.724245,0.72098804,0.7168579,0.71347666,0.7104458,0.708664,0.7101571,0.7114884
1,1467,0.734433,0.73514503,0.7353806,0.7343488,0.7333873,0.7321925,0.730684,0.7303286,0.7291546
1,17314,0.706464,0.7089345,0.708792,0.7083933,0.7060948,0.70311326,0.6979068,0.69596976,0.69550365
1,55827,0.591222,0.5900442,0.58875036,0.5876908,0.58642894,0.58576363,0.58499306,0.59891075,0.59879714
1,56424,0.7862527,0.7865217,0.7862653,0.78212047,0.7777386,0.77477974,0.7730231,0.77189493,0.7719009
1,56963,0.7977953,0.7978104,0.79879016,0.7993905,0.7995004,0.7980957,0.7949939,0.79202604,0.78956956
