,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.011844205,0.012970935,0.013446758,0.24945,0.25754765,0.25981346,0.26077604,0.26297203,0.262309
2,235,0.011657684,0.011984525,0.012680267,0.20775504,0.21467373,0.21543233,0.21483876,0.21943143,0.21886773
2,384,0.010827127,0.013361087,0.013146286,0.1718868,0.17746747,0.17730561,0.17849456,0.18559252,0.18394579
2,440,0.012776932,0.014830423,0.013999063,0.16238707,0.1676193,0.16950245,0.17024434,0.17347324,0.17459658
2,458,0.011226066,0.013796873,0.013876065,0.16462648,0.16855012,0.16850574,0.16863033,0.17216352,0.17401883
2,471,0.011913572,0.014587346,0.014250474,0.16499129,0.16914767,0.16918437,0.16908291,0.17364572,0.17440343
2,534,0.011497371,0.014159553,0.013332676,0.19597147,0.20112154,0.2024372,0.20282845,0.20704335,0.20808211
2,643,0.011596175,0.015253291,0.014505568,0.19149393,0.1957383,0.1966766,0.19702859,0.20282811,0.20149733
2,862,0.011932589,0.015809955,0.015303805,0.15936665,0.1664276,0.16721764,0.1685123,0.17407046,0.17506933
2,918,0.014075075,0.012432795,0.014974998,0.24253234,0.25496808,0.25646758,0.25711688,0.2617768,0.270295
2,1005,0.012563116,0.014442485,0.014097011,0.21084283,0.2168784,0.21499744,0.21297632,0.21461451,0.22135444
2,1007,0.013433961,0.015776789,0.014030856,0.21095772,0.21769668,0.21712776,0.21821661,0.21899976,0.22225179
2,1161,0.016821517,0.014410658,0.015510685,0.15880647,0.16570604,0.16460651,0.16579694,0.1762127,0.17472674
2,1190,0.011668357,0.01591933,0.015311145,0.22871059,0.23981647,0.2404768,0.24203587,0.24329524,0.24818099
2,1395,0.012864871,0.020424439,0.017096613,0.19420196,0.21049659,0.21221873,0.21169437,0.21405415,0.21760559
2,1467,0.013962525,0.016625402,0.015807953,0.21872738,0.23341677,0.23390749,0.23395064,0.23923025,0.2450677
