,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.9898088,0.99077684,0.9887689,0.7935564,0.7445688,0.75374246,0.7617281,0.76187086,0.75819737
2,235,0.9907348,0.9913705,0.99011964,0.8262914,0.8180315,0.8142896,0.8127013,0.8010695,0.8114078
2,384,0.9929259,0.9933422,0.9923776,0.89794374,0.897883,0.8897372,0.8979766,0.7908645,0.88761836
2,440,0.9932942,0.99518967,0.99522156,0.9066758,0.9007931,0.9058993,0.89979506,0.88997483,0.9023996
2,458,0.99044853,0.9932065,0.9919755,0.8894802,0.8665524,0.8680668,0.8559551,0.84938097,0.8633082
2,471,0.98975563,0.99232984,0.99234205,0.8400881,0.83323437,0.8382127,0.8396468,0.8381722,0.8310995
2,534,0.9902217,0.99093884,0.9909,0.8578673,0.8458874,0.84245294,0.83446,0.82299584,0.82280797
2,643,0.99020433,0.99125767,0.99051493,0.8774021,0.8749328,0.8725684,0.8627012,0.8513367,0.8634773
2,862,0.9912078,0.99347997,0.9930454,0.9092273,0.9035838,0.90540385,0.8985813,0.894895,0.9054641
2,918,0.9948836,0.9951922,0.99534637,0.87692624,0.8802627,0.8768777,0.8714933,0.86753696,0.8736507
2,1005,0.9883675,0.98883986,0.9880771,0.7843707,0.7766363,0.77741677,0.7796821,0.7777736,0.7687359
2,1007,0.98845077,0.98809975,0.9881983,0.7821489,0.76827884,0.7676452,0.76885694,0.7725253,0.75301933
2,1161,0.98753923,0.9897519,0.9895051,0.8697234,0.8487614,0.8573749,0.8583496,0.8542726,0.85305595
2,1190,0.99073124,0.9902068,0.9885838,0.8325171,0.8063299,0.80266,0.810849,0.81065106,0.7916345
2,1395,0.9911459,0.9895534,0.9894363,0.8336832,0.82369137,0.81950694,0.8208616,0.8214388,0.8164942
2,1467,0.99274915,0.99141175,0.9901138,0.8669866,0.8627873,0.8556514,0.8556824,0.8533042,0.8532676
