,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.40683848,0.4017797,0.33467147,0.3664278,0.3605489,0.36398882,0.36623976,0.35777083,0.35454684
1,235,0.3596573,0.3428838,0.3472102,0.34433222,0.33829412,0.34706837,0.34597513,0.41182405,0.3742569
1,384,0.26058403,0.2559832,0.2715094,0.26274505,0.28527412,0.27164522,0.26794767,0.2745843,0.27652988
1,440,0.30449465,0.30450457,0.25870392,0.26290587,0.25026157,0.24385998,0.2505316,0.26824284,0.257468
1,458,0.27652466,0.26962808,0.24438392,0.2559584,0.254259,0.28012863,0.29547623,0.2684196,0.28987783
1,471,0.32078972,0.30097082,0.3642811,0.3018662,0.32559472,0.3247704,0.2925624,0.33697844,0.28553307
1,534,0.2571609,0.26141882,0.23314464,0.25542867,0.24310409,0.26936716,0.25277635,0.2784285,0.280034
1,643,0.3433722,0.33848673,0.33802423,0.35459176,0.37436792,0.349781,0.32818088,0.35472432,0.30907103
1,862,0.28629336,0.30733785,0.3376426,0.3334472,0.34338555,0.31998345,0.32424185,0.3250237,0.32630765
1,918,0.3439932,0.32545656,0.34599856,0.41563198,0.39329383,0.39394322,0.36726037,0.3769884,0.39274967
1,1005,0.24169208,0.31249654,0.25816926,0.29038292,0.28802943,0.31272936,0.33538258,0.3381932,0.3435412
1,1007,0.37779865,0.3634623,0.2945624,0.30001238,0.31787112,0.31869859,0.3242894,0.31626335,0.30335557
1,1161,0.2959243,0.28050014,0.27268186,0.30348116,0.32654387,0.3317139,0.34200713,0.31842867,0.32050252
1,1190,0.33477327,0.3241169,0.28717715,0.29829693,0.3148233,0.32622755,0.33478338,0.34122285,0.35269138
1,1395,0.26749936,0.26556352,0.24830693,0.27807343,0.2743995,0.26788738,0.2857612,0.29109243,0.30911744
1,1467,0.3933076,0.39138216,0.42009407,0.42400116,0.4437074,0.39184284,0.37884945,0.35706943,0.37341613
1,17314,0.52008486,0.43985766,0.36968794,0.40709844,0.39001158,0.36033556,0.33396024,0.30035523,0.30819452
1,55827,0.43147385,0.38705865,0.39523295,0.5043981,0.49005008,0.5118347,0.55404955,0.6093375,0.57068425
1,56424,0.29733083,0.31633112,0.3194767,0.34900883,0.34951255,0.37130594,0.34021702,0.343864,0.34482518
1,56963,0.32705736,0.31300098,0.27990475,0.32951736,0.33905712,0.32794145,0.33216253,0.34914935,0.3482284
