,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.7126581,0.7243629,0.798019,0.7166688,0.680633,0.62866366,0.64198166,0.5732861,0.5164184
1,235,0.6411473,0.66701865,0.7183284,0.70407873,0.7076669,0.6288294,0.6047551,0.6438563,0.61833006
1,384,0.7298074,0.76798683,0.79573274,0.8096803,0.7884033,0.7902395,0.76507026,0.7572965,0.780632
1,440,0.75503105,0.7662503,0.8115954,0.8085418,0.77824825,0.8111498,0.8251435,0.67753977,0.7746536
1,458,0.83127207,0.81589407,0.83251935,0.83706117,0.81374615,0.8029137,0.7998416,0.8111097,0.7634539
1,471,0.683516,0.7126096,0.7197554,0.74876785,0.6376844,0.619193,0.62256366,0.67522126,0.6948452
1,534,0.79978377,0.79343814,0.84298843,0.80001616,0.7795191,0.78006244,0.7904057,0.7547783,0.72497815
1,643,0.75231594,0.7670304,0.7938745,0.7087571,0.67210716,0.70272404,0.6666599,0.6842696,0.72675633
1,862,0.82832223,0.78886753,0.8128546,0.8157964,0.81532866,0.81710964,0.80314374,0.83004946,0.81573933
1,918,0.7856812,0.7952421,0.8458677,0.8104005,0.81281954,0.8235152,0.8111036,0.80057454,0.7974563
1,1005,0.6442361,0.69099206,0.74999446,0.73056346,0.6674297,0.63731015,0.6902721,0.6454223,0.59220433
1,1007,0.60886055,0.6205682,0.70448905,0.68741935,0.6796581,0.64805263,0.6507146,0.67237824,0.6196545
1,1161,0.5720395,0.5914267,0.7003222,0.635988,0.65495723,0.6602177,0.669897,0.65543073,0.6762927
1,1190,0.8014419,0.69538563,0.717323,0.72389644,0.68403596,0.67620975,0.70046026,0.678983,0.7159714
1,1395,0.7493585,0.7142608,0.7714305,0.7266113,0.73034126,0.7136187,0.7016316,0.71640414,0.57657063
1,1467,0.7835974,0.7472689,0.81497353,0.7355463,0.75490826,0.76317674,0.7581344,0.76695395,0.7441488
1,17314,0.726876,0.70124227,0.7657728,0.68911916,0.69144946,0.70171577,0.7181246,0.745676,0.74809116
1,55827,0.5799014,0.5807826,0.7224894,0.48447964,0.6175795,0.60741407,0.6337803,0.6338417,0.6327462
1,56424,0.7320173,0.76731235,0.80517745,0.72913164,0.76088643,0.7532963,0.7359364,0.77273244,0.7006648
1,56963,0.7096584,0.7904158,0.87224597,0.7927248,0.7878882,0.74588823,0.7720203,0.7762582,0.76105756
