,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.014930783,0.01529909,0.0183065,0.26588008,0.27809775,0.27812615,0.27564058,0.2775287,0.27620006
2,235,0.015504823,0.015473389,0.021168757,0.21057345,0.21787357,0.21959375,0.21727136,0.21783836,0.217343
2,384,0.016231135,0.01662059,0.021505706,0.1671204,0.16983604,0.16941912,0.1687677,0.1703915,0.17401247
2,440,0.017734747,0.017521657,0.023262553,0.16568379,0.16861959,0.16801609,0.16454643,0.16563176,0.1667536
2,458,0.016308906,0.016759792,0.020559106,0.17332819,0.1752393,0.17303948,0.17066072,0.17101566,0.17184763
2,471,0.01712192,0.017496536,0.021415971,0.16396478,0.16303702,0.16268092,0.16271684,0.16300684,0.16400512
2,534,0.016201032,0.01660408,0.02021192,0.19344385,0.20138033,0.19964623,0.19948292,0.20201813,0.20469214
2,643,0.01661786,0.016796416,0.020131014,0.18865022,0.1907248,0.1899688,0.18879119,0.18967426,0.1916793
2,862,0.0175984,0.017756855,0.020819461,0.15978968,0.16253546,0.16263917,0.16170228,0.16306642,0.1660826
2,918,0.01678997,0.016569873,0.021716053,0.2325602,0.24537933,0.24912417,0.2524945,0.25832927,0.26315773
2,1005,0.015364509,0.016267482,0.02016202,0.20365703,0.2122943,0.2109914,0.21157604,0.215458,0.21551624
2,1007,0.015862433,0.016125722,0.019892631,0.21203394,0.22477575,0.22202778,0.22073637,0.2229453,0.22407596
2,1161,0.016086983,0.01733787,0.024092551,0.15350547,0.15620412,0.15722269,0.16050501,0.16652995,0.17142218
2,1190,0.016601836,0.017392982,0.019806689,0.23579234,0.2472892,0.24657032,0.24470882,0.24892132,0.2483749
2,1395,0.016818898,0.018874757,0.022250379,0.18171549,0.19655983,0.19911286,0.20067398,0.20464294,0.20541984
2,1467,0.015390521,0.01662375,0.020563709,0.20755742,0.21945189,0.2233861,0.22867896,0.23158824,0.23059165
