,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,0.9900455,0.9901297,0.984157,0.74563855,0.72020334,0.70438504,0.70904064,0.704227,0.703177
2,235,0.99166375,0.99203295,0.988307,0.8476727,0.8135317,0.82256526,0.8201225,0.815002,0.8144162
2,384,0.9942112,0.99316096,0.9887971,0.8658938,0.8763659,0.8799321,0.87624115,0.87352824,0.8815026
2,440,0.9954017,0.9943299,0.9926129,0.9063266,0.8930757,0.9021816,0.90766597,0.907856,0.8928223
2,458,0.99555856,0.9950184,0.99105287,0.88899475,0.8835754,0.88404685,0.8819296,0.88601494,0.8532369
2,471,0.99363965,0.99361044,0.987106,0.84507537,0.84247214,0.82913256,0.8151686,0.82067424,0.81978846
2,534,0.99331164,0.99258107,0.9881222,0.8510332,0.8458271,0.8449808,0.8356667,0.8268201,0.8109457
2,643,0.9927857,0.9917276,0.98771197,0.8499322,0.8534984,0.8415113,0.83524877,0.8373275,0.8493865
2,862,0.99591136,0.9946818,0.98897105,0.89504904,0.88325876,0.8716676,0.87996787,0.89179474,0.9036789
2,918,0.99408096,0.99437135,0.9916909,0.86357576,0.8693289,0.87594527,0.8733759,0.87589645,0.84886
2,1005,0.98970836,0.9901402,0.986301,0.7282508,0.743098,0.7456203,0.73470634,0.73098063,0.7292518
2,1007,0.9886654,0.9888515,0.98545426,0.72198296,0.7216297,0.72956914,0.73294896,0.7252312,0.72099
2,1161,0.9913134,0.9897957,0.9860353,0.8340004,0.8256542,0.83000106,0.81321955,0.8228956,0.8171375
2,1190,0.9937509,0.9904042,0.98722404,0.82590294,0.7985905,0.7770586,0.7632945,0.75903136,0.75532705
2,1395,0.991803,0.99035335,0.9866109,0.7919578,0.8047262,0.80844665,0.8138929,0.8073693,0.8079888
2,1467,0.99345165,0.993319,0.98811406,0.8403092,0.84400815,0.8328371,0.8386372,0.83923596,0.8331606
