,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.38102368,0.35669786,0.3010101,0.40499505,0.39428756,0.38502684,0.38271597,0.36138487,0.39192456
1,235,0.31598306,0.33478817,0.2965191,0.33543634,0.35597128,0.38129383,0.41270608,0.46608996,0.48512283
1,384,0.31895027,0.4441129,0.2701143,0.26256302,0.29162413,0.29575005,0.33827376,0.41494796,0.41641486
1,440,0.24393192,0.24773616,0.23354417,0.24960737,0.23743264,0.2407795,0.27596164,0.28142443,0.2783431
1,458,0.4390632,0.36093438,0.41957957,0.38947728,0.40635484,0.41181567,0.43500766,0.47811654,0.5277252
1,471,0.27234796,0.2774603,0.3015426,0.34301043,0.36676922,0.37670106,0.3419585,0.33792052,0.37032875
1,534,0.29549688,0.30805144,0.27339375,0.2729557,0.27959043,0.2763207,0.30021626,0.30839714,0.30364066
1,643,0.280933,0.26478204,0.2705757,0.29677424,0.30119795,0.30912724,0.29926777,0.3067315,0.31007704
1,862,0.36574322,0.3538428,0.31443095,0.2855845,0.30315715,0.29523134,0.28101438,0.29498968,0.3179184
1,918,0.32076758,0.33994576,0.35329393,0.35833696,0.35042748,0.35303643,0.3401272,0.35725588,0.34164807
1,1005,0.25450152,0.2781767,0.23973285,0.2769174,0.2993728,0.32238862,0.32820344,0.3215785,0.32652044
1,1007,0.31238192,0.3212907,0.27787566,0.2923281,0.2947998,0.3102574,0.303,0.2897707,0.29780516
1,1161,0.2687378,0.24380474,0.2675788,0.23909986,0.2531674,0.26298434,0.2826308,0.28121185,0.28818506
1,1190,0.34187412,0.34182253,0.29599795,0.32071802,0.3053923,0.33122474,0.33773527,0.35509217,0.3391866
1,1395,0.29327726,0.31287566,0.3412626,0.34679347,0.32717428,0.3209159,0.30746925,0.31470042,0.30742398
1,1467,0.32276812,0.31221282,0.29178312,0.33256003,0.34734166,0.33913264,0.35774207,0.38086188,0.40624937
1,17314,0.3588968,0.32566115,0.3254085,0.29850012,0.33323556,0.3302561,0.32212162,0.32790646,0.33473033
1,55827,0.41777447,0.40049857,0.38389316,0.4383671,0.4484555,0.46178457,0.49640158,0.4857383,0.4766921
1,56424,0.28281653,0.31491593,0.31535777,0.3211151,0.32924023,0.32882398,0.31622803,0.34524742,0.35269538
1,56963,0.45665362,0.44037625,0.3708528,0.37454084,0.36025992,0.37194127,0.3546797,0.37181327,0.39608392
