,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
1,212,0.50283474,0.63945806,0.72433,0.63975483,0.59555227,0.6853252,0.6445267,0.66804725,0.55840355
1,235,0.75594044,0.72271204,0.8251478,0.73632354,0.7404609,0.69373995,0.7009959,0.6977648,0.6891758
1,384,0.6319669,0.12377129,0.55799097,0.7808525,0.5956877,0.74821204,0.7490349,0.7697809,0.6998605
1,440,0.7208979,0.74916863,0.8939154,0.8153847,0.79847795,0.7837673,0.83000547,0.7770061,0.79060245
1,458,0.7633082,0.76562786,0.73954767,0.65443164,0.7277016,0.7628915,0.7002041,0.7084377,0.6993117
1,471,0.68703604,0.6797901,0.7608215,0.6251335,0.71533084,0.665523,0.63723475,0.62692875,0.6927449
1,534,0.6209618,0.6333272,0.4839888,0.65110993,0.5824589,0.73600173,0.6518831,0.5826122,0.7209911
1,643,0.76533264,0.7156334,0.71191865,0.69173795,0.6916714,0.6585712,0.6987355,0.7106058,0.7004912
1,862,0.7293806,0.759077,0.7964943,0.8116689,0.78011656,0.79565525,0.7941024,0.7933591,0.75195956
1,918,0.8294678,0.78085375,0.8329296,0.8135889,0.81008345,0.8050301,0.77783436,0.7626063,0.7424031
1,1005,0.6820276,0.6701858,0.7798857,0.7292715,0.71111465,0.6823461,0.70187193,0.7052045,0.6370173
1,1007,0.68010765,0.6753645,0.7352483,0.7102985,0.6480951,0.660023,0.6542263,0.68729806,0.6332821
1,1161,0.75690097,0.7084558,0.82319045,0.7677391,0.7915439,0.75817186,0.73757845,0.75642234,0.77054745
1,1190,0.7613911,0.76192707,0.7978043,0.66797024,0.5901139,0.5273743,0.55660385,0.6535041,0.67895794
1,1395,0.6745687,0.7088268,0.7404627,0.75925726,0.75988364,0.72233003,0.74269885,0.75737333,0.7375334
1,1467,0.7017978,0.7669212,0.767477,0.7812918,0.7006495,0.71944743,0.74268144,0.7485461,0.73418623
1,17314,0.6747374,0.7281246,0.608895,0.6475176,0.64978075,0.6930022,0.6163226,0.60922426,0.589562
1,55827,0.6010885,0.6413567,0.7027736,0.6391242,0.59657407,0.58951116,0.59968,0.6691732,0.60040647
1,56424,0.79288244,0.82324106,0.8360855,0.7903867,0.74326056,0.68456316,0.729233,0.68632436,0.62954146
1,56963,0.7158049,0.75975055,0.8211948,0.76545,0.7503671,0.7086374,0.67819047,0.753475,0.5775625
