,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,,,,0.30649513,0.33861604,0.34911445,0.35741463,0.35751206,0.359989
2,235,,,,0.2884435,0.3242959,0.33935133,0.34541345,0.3471598,0.35312238
2,384,,,,0.2599758,0.28987834,0.2959171,0.30417788,0.30265203,0.30132115
2,440,,,,0.24325585,0.26306343,0.2669657,0.26900613,0.26794946,0.26827213
2,458,,,,0.2624926,0.30000186,0.31567246,0.32786244,0.32790595,0.3293845
2,471,,,,0.26154336,0.2918521,0.29694116,0.29950482,0.3028266,0.3051884
2,534,,,,0.29601923,0.34149417,0.35543984,0.35917157,0.36530018,0.36363313
2,643,,,,0.2767749,0.30479115,0.30809897,0.3123885,0.3127062,0.3156844
2,862,,,,0.24063775,0.27036646,0.27418947,0.28124097,0.28143385,0.28227898
2,918,,,,0.3580098,0.44905558,0.49142584,0.5081402,0.5187127,0.5199441
2,1005,,,,0.2977058,0.34957075,0.36287573,0.37044019,0.37341014,0.37801883
2,1007,,,,0.2900085,0.32851723,0.3351419,0.33731622,0.3435714,0.34236744
2,1161,,,,0.26507416,0.32714763,0.3605317,0.37600893,0.38494992,0.3858059
2,1190,,,,0.30110797,0.33477777,0.34280097,0.34346417,0.34303346,0.34748617
2,1395,,,,0.26895,0.32818708,0.34768954,0.3589674,0.36417776,0.36332792
2,1467,,,,0.29443192,0.340544,0.3668012,0.38295236,0.38859123,0.39166358
2,17314,,,,0.2852256,0.31653118,0.32397395,0.32373637,0.32552814,0.33030066
2,55827,,,,0.39396685,0.47584254,0.5132911,0.53388774,0.54604363,0.5441243
2,56424,,,,0.3234438,0.36402914,0.3830969,0.38965985,0.39545357,0.39045355
2,56963,,,,0.29261345,0.3233147,0.33610934,0.34098896,0.341198,0.34627515
