,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,,,,0.72412014,0.6883291,0.6890901,0.68833977,0.6702467,0.67855316
2,235,,,,0.7898923,0.7582254,0.7428632,0.7361251,0.7312761,0.7429674
2,384,,,,0.8119831,0.79609054,0.7726981,0.7850533,0.7947629,0.7828908
2,440,,,,0.8313026,0.82523525,0.81565547,0.8208881,0.8384068,0.81928134
2,458,,,,0.80436975,0.77220786,0.7651031,0.7642254,0.77384037,0.76692325
2,471,,,,0.8073052,0.7925382,0.77513814,0.7566009,0.7858616,0.7755432
2,534,,,,0.7970377,0.7371098,0.7343355,0.73436224,0.73277164,0.7330825
2,643,,,,0.7783545,0.75634766,0.73920786,0.7339546,0.7487328,0.75540215
2,862,,,,0.85162205,0.8423356,0.8363415,0.815114,0.8272463,0.81138647
2,918,,,,0.85239744,0.8340191,0.82433575,0.8181777,0.80395734,0.8131813
2,1005,,,,0.70855504,0.6873647,0.6806383,0.65748465,0.6623792,0.6558752
2,1007,,,,0.7148655,0.6643281,0.65334624,0.6625552,0.6520369,0.63470113
2,1161,,,,0.80949754,0.74946797,0.73834544,0.7370523,0.7368589,0.7387999
2,1190,,,,0.79694945,0.72981954,0.74973404,0.74462175,0.7543729,0.74411494
2,1395,,,,0.7712968,0.7485513,0.7341389,0.74006504,0.72676,0.7132494
2,1467,,,,0.78466105,0.76277226,0.77332246,0.76128834,0.7581483,0.7543635
2,17314,,,,0.7517563,0.727606,0.69436914,0.6825479,0.7027776,0.6827507
2,55827,,,,0.7973441,0.74109894,0.72997236,0.71068275,0.71805024,0.72583663
2,56424,,,,0.718196,0.69258606,0.6744821,0.671611,0.6840595,0.6859527
2,56963,,,,0.8460761,0.83321035,0.8277113,0.8174517,0.80834746,0.8171852
