,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,,,,0.35401687,0.35471496,0.35476395,0.35804495,0.35870746,0.36043757
2,235,,,,0.35272813,0.34856272,0.35208166,0.35051924,0.3503112,0.35090724
2,384,,,,0.3016403,0.30293638,0.30362436,0.30291548,0.3014568,0.30011955
2,440,,,,0.26868126,0.26938272,0.2670682,0.26940504,0.2672729,0.26920944
2,458,,,,0.32691377,0.3257087,0.3267605,0.3278516,0.32744116,0.3327985
2,471,,,,0.3025886,0.30338424,0.3026433,0.2996979,0.3030667,0.30733234
2,534,,,,0.36136574,0.3611486,0.3627536,0.36180246,0.36433524,0.36548546
2,643,,,,0.31037846,0.31309754,0.3141495,0.312653,0.31506512,0.3149574
2,862,,,,0.28090283,0.28126296,0.28277767,0.281883,0.2834927,0.28199023
2,918,,,,0.52228296,0.52107996,0.5180805,0.51753396,0.5193752,0.5181647
2,1005,,,,0.37217578,0.37002975,0.37543163,0.37571722,0.3739917,0.3772613
2,1007,,,,0.34464628,0.34286416,0.34332034,0.34103733,0.34124047,0.34237662
2,1161,,,,0.3876631,0.38574895,0.38751996,0.3838085,0.38857198,0.39024833
2,1190,,,,0.34455317,0.34657955,0.3471884,0.34510872,0.34816214,0.34487653
2,1395,,,,0.36488947,0.36459908,0.36234394,0.3638031,0.36375347,0.36435777
2,1467,,,,0.3902389,0.38923505,0.38627297,0.38943857,0.38845554,0.39455304
2,17314,,,,0.32812783,0.32826498,0.32866648,0.32816616,0.32975385,0.32884738
2,55827,,,,0.5501998,0.546239,0.5410902,0.54415935,0.54533297,0.5363491
2,56424,,,,0.3954016,0.3958425,0.3943209,0.3956862,0.3993356,0.39460987
2,56963,,,,0.3441376,0.34752584,0.34322858,0.34390473,0.34428275,0.34618926
