,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
2,212,,,,0.6776614,0.680115,0.6474452,0.67538846,0.65944535,0.68033695
2,235,,,,0.7424536,0.7577888,0.74106646,0.7344549,0.75120604,0.7554956
2,384,,,,0.77251124,0.79711646,0.7868622,0.7979094,0.7742245,0.7668683
2,440,,,,0.82375085,0.8277465,0.8174061,0.81876075,0.82088083,0.82979935
2,458,,,,0.75820535,0.76420397,0.75141203,0.76269394,0.7680288,0.77154976
2,471,,,,0.7838656,0.79125273,0.7797332,0.76787645,0.7732996,0.7638227
2,534,,,,0.7352684,0.73550665,0.7398523,0.7347012,0.736434,0.731751
2,643,,,,0.7516648,0.7541152,0.749092,0.74092466,0.75721496,0.74973303
2,862,,,,0.82047087,0.8078499,0.8021,0.8306944,0.82432044,0.8159796
2,918,,,,0.80710226,0.8144284,0.81335205,0.8125825,0.8172592,0.8142177
2,1005,,,,0.6753459,0.6691781,0.679366,0.6716028,0.6678861,0.65794826
2,1007,,,,0.6546125,0.6518072,0.646462,0.65553063,0.65309024,0.64316505
2,1161,,,,0.74261767,0.7297628,0.7279395,0.73579085,0.7404925,0.7373289
2,1190,,,,0.7413361,0.7486946,0.74632317,0.74710387,0.7431845,0.74285674
2,1395,,,,0.72333515,0.722327,0.7069693,0.7244526,0.716435,0.71493673
2,1467,,,,0.7569861,0.7407518,0.74785745,0.7458446,0.7505653,0.74252784
2,17314,,,,0.68662614,0.68899137,0.6845504,0.6931688,0.6829496,0.694329
2,55827,,,,0.68982667,0.72455245,0.708947,0.71644944,0.723411,0.7186403
2,56424,,,,0.67055523,0.67670506,0.68510944,0.6793908,0.662228,0.683914
2,56963,,,,0.8020181,0.81166536,0.8186465,0.81010693,0.8189379,0.81417274
